sigma_u,sigma_v,sigma_r,R_0,X_vv,X_vr,X_rr,X_vvvv,Y_v,Y_r,Y_vvv,Y_vvr,Y_vrr,Y_rrr,N_v,N_r,N_vvv,N_vvr,N_vrr,N_rrr
0.022906958493543857,0.010024567967741671,0.002064353275424935,0.02299213104296509,-0.15685760047796724,-0.18918390325887824,-0.03049076948062221,0.16429611792583398,-0.27190417970992864,0.08389022957305209,-5.682517490003985,-2.2898211833862927,-0.9733011193571286,-0.019132403494948533,-0.14188283111825112,-0.048974235217751176,0.2013840161500171,-0.2782759252612118,0.0065718617327450435,-0.024742740963875832
0.023684347126888158,0.010793981958083843,0.002221064265701287,0.01973641588680375,-0.17875449567482754,-0.1527417562404177,-0.014734455342214708,-1.091589063994187,-0.2897768056807072,0.07682220548175978,-4.012489646255766,-1.1381271626271983,-0.7166677010906788,0.010508433883366558,-0.13980882948807571,-0.04976143296240453,0.08737370284995749,-0.175477436704368,0.11009435178743054,-0.004343822449682629
0.023163906835758617,0.010693623501590312,0.002201005752532378,0.019299424129353038,-0.15728112331560762,-0.1543088073758646,-0.01995375832900112,-1.0736317118813747,-0.28965574090161594,0.07965210410214138,-4.046521382268873,-1.356100978888915,-0.8238529754552376,-0.008332392631333327,-0.14020999140225637,-0.04934478258903105,0.08451520655523392,-0.1512546829547684,0.12067571393208804,-0.0046918093420568185
0.02290411546027117,0.010059638683610496,0.002204265014101337,0.021497087631314596,-0.07330191034882358,-0.10664158770813933,-0.02146443111892729,0.48723691790561485,-0.2874195422901362,0.08032005820004143,-3.091188639214172,0.1159453001384656,-0.3114219142807977,0.023714140216244406,-0.1454516275498699,-0.04939224392188344,0.33493059020603966,-0.27217949424337917,-0.042217253110514774,-0.03853228185090521
0.02257797970867657,0.01052070598401261,0.002068916153906886,0.020730968691550916,-0.11735052544266349,-0.15784653531800455,-0.027167745046469405,-0.41962904128947875,-0.2693149666112303,0.08900526013890578,-5.732597409690386,-2.4533973042212107,-1.0391517825638898,-0.032310762174117075,-0.1364860905284519,-0.04798120027264838,-0.32801479306670334,-0.7868781677395874,-0.17744465994169584,-0.04733835798148346
0.02295290862318782,0.010096713737436563,0.0021768438486690273,0.021561353916066693,-0.1492033960839985,-0.06458061352052458,0.004115609259844388,0.6529078862223883,-0.27114813562463524,0.07813937835716622,-5.624165496684615,-1.9925811273599905,-0.7972307914605355,0.02295312647184461,-0.13552911721044403,-0.04849135056401377,-0.42338546241866176,-0.7793390311542163,-0.14649215591896306,-0.041129125528831675
0.026105754039980087,0.010099352188752029,0.0019332288806180558,0.021203852820325324,-0.14657411885790347,-0.06679073032907007,0.0002651152953114244,0.7481730854744133,-0.2713537421750231,0.08499732579516855,-5.112687005759997,-1.722756975592672,-0.7526866674535291,0.012962008476042619,-0.13370362727246282,-0.04638950179200932,-0.4132852454239908,-0.8610649386409768,-0.21196035531679253,-0.05670988709132161
0.02383687187020718,0.010557219600741187,0.0021605405288599114,0.02111746925533155,-0.07433056732512214,-0.1263806055083809,-0.019676542396692878,-0.41956596858176354,-0.27166572239021425,0.08011450795121988,-5.38855274379812,-2.0891117474680687,-0.8988447638626066,0.0023711217814914864,-0.13724091524494864,-0.04693487044151931,-0.3140193610047619,-0.8927287174885867,-0.24096864647811359,-0.05905854825144956
0.023158339476414627,0.010062456425534407,0.0020825574049998475,0.021742974093575014,-0.17156033962365497,-0.15098915173034572,-0.01849476856658859,0.062226648109929394,-0.274047296206522,0.08488019387046838,-5.60699569303437,-2.0156761909875476,-0.7699955957439958,0.012811369236402664,-0.13663894774734536,-0.04757204625662288,-0.37971077906287243,-0.898724561497062,-0.23310398173538366,-0.05640164128363655
0.02279980717482148,0.010301345737243619,0.002033195916610425,0.021009057055946287,-0.08494524355448106,-0.004782598321628251,0.019904354850640474,0.03358021818446377,-0.28888368368124206,0.07883936745051393,-4.2639378217715,-1.7124367163933645,-1.0522640715389304,-0.05491626343961327,-0.13568177162700334,-0.04770807791374331,-0.3810348925862039,-0.7213124365671122,-0.11629296365075259,-0.03731187452946619
