sigma_u,sigma_v,sigma_r,R_0,X_vv,X_vr,X_rr,X_vvvv,Y_v,Y_r,Y_vvv,Y_vvr,Y_vrr,Y_rrr,N_v,N_r,N_vvv,N_vvr,N_vrr,N_rrr
0.020519743202642483,0.0083507833369533,0.001964840879371111,0.022598460347343585,-0.050976723484395414,-0.024889891858867225,0.015159243783311904,-0.09793073754353832,-0.3621151777002237,0.06713562683194016,-1.395944156404954,0.12332436890212062,-0.6884833032445772,-0.06679423886937226,-0.18915858985957673,-0.0656231030823971,0.1738734711370079,-0.1826642179108292,0.017119031796588413,-0.05528585623712786
0.019767668865538015,0.011293106949632033,0.0021800081946145816,0.023344418346327875,0.007824406849910204,-0.03854094182194606,0.0002683909098906284,-0.20640618087044804,-0.24946882928421332,0.11287776598691177,-2.9718485618488857,-0.21062081286109802,-0.4425346571402251,-0.021935571834547862,-0.14195450349165348,-0.050383825712589016,-0.30024549238357107,-0.48633578459865756,0.03703762291195206,-0.007807552615812327
0.02033894092532799,0.008964859834190608,0.002031532066129007,0.019585882463816952,-0.06329555704223719,0.05538341234052355,0.027065250935773874,1.2235528102516224,-0.30535217210769505,0.08571113880987058,-2.291826624694687,-1.7289137167077149,-1.3847204257845411,-0.06593256619774132,-0.14085753084541086,-0.04600829521672212,-0.48655283784287445,-0.3719428776656969,0.06684978130122926,-0.04972878327934577
0.021391693892810586,0.010064841876219175,0.002324056721654668,0.02299825535747294,-0.1029695525882448,-0.20063313403617714,-0.045225822742678896,-0.7179961716575166,-0.3700108261026405,0.057057147836820726,-2.5255980211612266,-1.7828294998045884,-1.1935278787540453,0.00601330691903515,-0.19110252108647918,-0.0699527264770632,0.20984662996774628,-0.7050254782482172,-0.22819761371746627,-0.04629050599335078
0.022271921803611188,0.009356099026975694,0.002089367725652538,0.023634038133023907,-0.06260771468236523,-0.12340383477625387,-0.00821213699830324,-1.333435479157926,-0.41911106225702355,0.0591192896171239,-4.321023438905252,-2.0507720739899225,-0.8417476221987135,-0.03500380870790194,-0.19333920209741026,-0.06738277121905709,-0.41082426108352893,-0.9630912767495945,-0.1781508432977757,-0.042267703850863377
0.020274619209661258,0.009057552288380217,0.0020753097274641623,0.023069302427597617,-0.04783286900083236,-0.14369532913849353,-0.023516158724268904,-1.3217213055219244,-0.429715985295546,0.03759444605191914,-2.6916325079036727,-1.2938929139391855,-0.9458037942327814,-0.017956731462939232,-0.1939911346359456,-0.06979102185558347,-0.39011415577794667,-0.908780606790595,-0.1534621570362679,-0.02906681740710509
0.022567124346937383,0.009876206991880339,0.002096162127183647,0.02166498793862441,-0.053165839485078414,0.00537847929975338,0.012337159001237996,1.0437923309788237,-0.4148216291736256,0.04603723374777999,0.011893478007893421,-0.6893089672593933,-1.125032174499692,0.01945670523900353,-0.1755320761705657,-0.05887590577311486,0.14107383296950082,-0.22321943263473543,0.08069287592694041,-0.02469902128166978
0.0216912662359212,0.009355112430250884,0.002233372866071333,0.019435372639188542,0.13284111880832594,0.05349650100735889,-0.012993811784532128,0.9750046034168962,-0.26642065820133953,0.10362879838806013,-3.578645422655776,-0.7074351363688003,-0.7369222727809004,-0.11568330845564015,-0.18530031769136474,-0.06432689693486311,0.21748106402686096,-0.22201173230826876,0.02509783485057493,-0.0403032481253154
0.021101910842701705,0.009614550385331365,0.0021638295327961105,0.019610026232876405,0.15825859688997818,0.05515507348852264,-0.02081764425000479,1.2492205895091648,-0.3135406291226087,0.08644661507932958,-1.5408927567755963,-0.4213335099549145,-1.0075025188468332,-0.1026190969461755,-0.18239826889250613,-0.06245522591547589,-0.197282002308463,-0.5311443320649376,-0.018051181587398213,-0.03464135714514248
0.02180638121699635,0.009507530239480989,0.0021503363487770733,0.01946307264191824,0.12732971550233202,0.11001796968861513,0.016305856283211587,0.8707705557224372,-0.33068953614906793,0.0694071800110787,0.12697428968892233,0.7332387098730124,-0.8232644710819452,-0.07777964499560888,-0.17051129427076633,-0.05822388134918527,0.04540712062129537,-0.19301864263843105,0.0904054510900491,-0.03059904175439925
0.019434208606369678,0.009360891182911118,0.0019377748332810925,0.022406629308818714,-0.16648945807067628,-0.06221754795735643,0.005490475197460584,1.1485630444033146,-0.4190136971246947,0.04463903177674591,-3.606030545750227,-1.420468447595166,-0.7986284017321339,-0.020435479943038945,-0.18902375182345696,-0.06363592284353459,0.12271549183192798,-0.003838930091879744,0.21337652846754512,-0.01632813775061394
0.021669775143228487,0.010326537989534122,0.002170234778556973,0.019949130661161538,0.1435396668637925,-0.0677972966699576,-0.05804244638039231,0.13469688222626153,-0.26613424681227105,0.09393155801946401,0.7894372220200783,0.5533046606278837,-1.007331504417789,-0.03521620982086866,-0.16518049621086628,-0.052066696830201806,0.1712300853014772,-0.19544096472458417,0.07282294593568572,-0.039254251411350735
0.019892445922403173,0.0090530177866822,0.001982776084630702,0.023475512659066253,-0.16877644536243863,-0.043434888024291324,0.022812247640859026,0.7603911281592257,-0.40987785764061585,0.05896271550325738,-5.032272651533762,-1.965344577031579,-0.7384380964641399,-0.06036657317040225,-0.198919188707466,-0.06999210460514459,-0.21371201986228605,-0.5249156054283157,-0.04139007193578009,-0.05089692396839383
0.02106746684106373,0.009345507355203692,0.002059361605106743,0.022794837350986936,-0.1897869569611983,-0.08581634579458,0.020905945566997056,-0.3852347970020933,-0.4232544274818111,0.059175044400981675,-4.611037150456518,-1.2430508850262414,-0.4582964121823654,-0.05396974832400024,-0.19824604650492866,-0.06481395539124327,-0.2495183085296317,-0.7066970944345862,-0.04927327935484732,-0.03378427604604455
0.01992941656355928,0.010157602611011231,0.002081584078625888,0.023856183658955702,-0.1318049691186696,-0.19296574984943465,-0.027192150186702464,-1.0393946228038822,-0.21670706862766703,0.10027141524014385,-0.3689386486114419,0.3535803813863305,-0.9457044205195676,-0.028062090515091717,-0.18481127847970227,-0.06487448866154746,-0.029786147477438296,-0.39694561650267735,0.029096161389149056,-0.02481280854375005
0.02053300335589172,0.010393351379863722,0.0020817414545313538,0.023987646579409366,-0.1442064480898865,-0.1771891119102111,-0.019097691738089673,-0.8781170395224086,-0.21171676029484227,0.11406120278586465,-0.43106190186360926,0.3758677928159342,-0.8388929178386652,-0.024202446770829195,-0.18767973745668656,-0.0634178853065262,-0.17035201657489685,-0.37314823294606325,0.08683676729362216,-0.022045387046876315
0.021678702819252167,0.010495567239298804,0.002111397840965285,0.022318817141460858,-0.03520527073927612,-0.13161020464511208,-0.04031979299242267,0.22088809490848949,-0.15766817603262556,0.12616777963834436,-1.5229303710774884,-0.6574782153946241,-1.126332388832556,0.0014038624834507296,-0.18232519592099544,-0.05895005014187168,-0.17717983493323042,-0.2627093093977314,0.1289912928014204,-0.03733911970457564
0.021637745982525543,0.009146036772101948,0.002181192701275441,0.019415247848172702,-0.036101414061275205,-0.022571648275284933,-0.010383656393272434,0.9147538780667861,-0.3254420251063595,0.07196071354752351,-2.9716812498836713,-1.1585978091027855,-1.1027857545998545,-0.09678706636549536,-0.15353689947981675,-0.05552896434129318,-0.06695844381501376,-0.458746852949117,-0.020225595887830294,-0.016314455881941088
0.01994666427368056,0.010212056897013039,0.002170582291420992,0.019826316491130196,0.17796856446944953,0.10297214097198545,0.004741927297401277,0.8015311024931036,-0.38657967057972603,0.04875031431089677,-2.929550170382753,-1.9203633306986552,-1.2031615529518844,0.0015611595911203119,-0.19214949133128661,-0.06587823837334955,-0.4491523564919371,-0.7881092710143491,-0.12032650400050379,-0.05414316909474191
0.018938610742562402,0.008966378755086777,0.0021332206028669707,0.02103174447834852,0.04157111271334929,0.04785895034408674,0.013587069541210778,0.7813418685285902,-0.45205580896549113,0.047377345762732254,-5.103059934593812,-1.7321773822155593,-0.5765340529119776,-0.0524823990369708,-0.18787013806801486,-0.06417343707200096,-0.20575198803799483,-0.670115848557731,-0.06706251430483362,-0.02934762425332264
0.019466569857439168,0.009360971016896577,0.002151384064172971,0.021585409021031794,0.09568627345570824,0.04347888092901145,0.0013658468764846665,0.7753995323911052,-0.4182661752124226,0.06634340870487357,-5.004485491104243,-1.8363055547423803,-0.6390547894975076,-0.07880759022222211,-0.18677962759349545,-0.06360777474042642,-0.16616772720324385,-0.5265433343213615,-0.00429549526433376,-0.03335881906977124
0.0215043018277007,0.009688227799272786,0.00198008096200276,0.022130769809878312,0.024292526658142938,0.036799636035986266,0.014982865070628848,0.8313858992766296,-0.20742961787100106,0.1063323687037388,-2.1758635586228032,-1.4203617919946345,-1.4498212687747907,-0.059378675012906945,-0.1302856911436528,-0.0465941423996542,-0.20836180603459337,-0.47393109581111736,-0.03995970728648135,-0.03185209902164813
