sigma_u,sigma_v,sigma_r,R_0,X_vv,X_vr,X_rr,X_vvvv,Y_v,Y_r,Y_vvv,Y_vvr,Y_vrr,Y_rrr,N_v,N_r,N_vvv,N_vvr,N_vrr,N_rrr
0.02028509936201464,0.010834004196445306,0.0018216285669039513,0.026863222336402343,0.19141057708759945,0.03621485154580942,0.025115658718715878,-1.3066897736798364,-0.3090640356865681,0.07618858540834844,-2.6612135237321555,-0.4405566865879966,-0.5136655232856104,0.039193169608064876,-0.1332335065671677,-0.04715956393474772,-0.323704437909004,-0.5712056985931608,-0.02562689737671503,-0.020304921098793893
0.020272108232941528,0.010819736768081364,0.001824393335236859,0.026867331294762445,0.19150478427903755,0.036200327638153645,0.025016041229258934,-1.3099757683882678,-0.3084698950293655,0.07632818892393597,-2.6760760650239663,-0.4535602007828281,-0.5115646431608831,0.0392325217164346,-0.13318090979242286,-0.047158271649693585,-0.3237386937559782,-0.5761501841634455,-0.0240137187258892,-0.02109611440836072
0.02027048524801006,0.010818416902931212,0.001824352462927203,0.02686673743623488,0.19150419044302147,0.03622249697522181,0.02500886951255689,-1.3100553347706547,-0.30846208257192975,0.07632693463321782,-2.6761487791253322,-0.456869745054588,-0.5116508860741455,0.03923268529180812,-0.1331813977937486,-0.04715689385940768,-0.32361321340286486,-0.5760825885604444,-0.02409971457959026,-0.02109820103577642
0.0202691362973336,0.010818258475790592,0.0018245413871960485,0.02686913536779726,0.1914838866192035,0.036345174875155845,0.02500060075360873,-1.3105520312132233,-0.3085195142999722,0.07633119535023386,-2.6720394011617477,-0.4591470514071232,-0.5127938110214458,0.03922922896469058,-0.1331816258681913,-0.047155692373166705,-0.3232130502532852,-0.5757998693229938,-0.024273598938955865,-0.021146103765048878
0.02026831162888585,0.010821027241800263,0.001824788112529536,0.02687106827743542,0.19146311225361318,0.03630113320542025,0.024994772621072442,-1.309944569037728,-0.30851453577250143,0.07632430593692069,-2.678288379775311,-0.45831515994634486,-0.5119098004958476,0.03923390122648632,-0.13318290738493224,-0.04715545684391853,-0.32301167915102813,-0.5758534524206063,-0.024058284335271907,-0.02116639459304797
0.02027599345161454,0.010810701650821855,0.0018251970985647327,0.02686910878616073,0.19143850266943863,0.03642624919674933,0.024966302743958335,-1.3101730938938354,-0.30872601215275275,0.07637527725355048,-2.6754988099439165,-0.46049715119024004,-0.5141765306131365,0.03923965028343876,-0.13319070307218145,-0.047158346133627085,-0.32301379248556006,-0.5745569771101076,-0.024329504729489804,-0.021092320998731443
0.020262819330912542,0.0108049885919643,0.0018243162428190232,0.026887476040779346,0.19129459387973163,0.03595866276747886,0.02506983060434516,-1.3103530812434545,-0.30836898126606327,0.07641204453344752,-2.6840486154863714,-0.4781678147907398,-0.5186631707639197,0.03924905343355109,-0.1331515630794608,-0.047148921324539385,-0.32135373974984394,-0.573054968376624,-0.02421765400442727,-0.020900281492752484
0.02026599988938595,0.0108042215713099,0.0018239730653200094,0.02688731565111175,0.19139092772909988,0.03589646230492674,0.025057218004536197,-1.3105992946146634,-0.3084231731807058,0.07639919357748176,-2.673303837955967,-0.4859439867630009,-0.5191762521209766,0.039251913726223775,-0.1331387041204699,-0.047153441333364236,-0.32159282099005826,-0.572906304108431,-0.02419402184906666,-0.020859427808870047
0.0202674605486275,0.010810180224297831,0.0018238238553309242,0.026887669219411617,0.19122526222516112,0.03579248502988039,0.025126376641839948,-1.3117408437764533,-0.30859376817433926,0.07647588292000895,-2.6671321021977827,-0.49394599321920607,-0.5144959466244281,0.039216712890774164,-0.13313345474989993,-0.04715273541128408,-0.32143625495638956,-0.5742665328129988,-0.024448625126877288,-0.02096976443231774
0.02025291582896949,0.010809330253979227,0.0018238086437974417,0.026878768229904912,0.19116311525901047,0.036144764637102506,0.025084200730661046,-1.3128260428518483,-0.30890312370836004,0.07648924469457569,-2.676929415459343,-0.48775732431025265,-0.5105927385746039,0.03919706116422794,-0.13311182337083233,-0.0471437036680341,-0.32120545302424486,-0.572961643338147,-0.02445787033323249,-0.0208132215164836
