sigma_u,sigma_v,sigma_r,R_0,X_vv,X_vr,X_rr,X_vvvv,Y_v,Y_r,Y_vvv,Y_vvr,Y_vrr,Y_rrr,N_v,N_r,N_vvv,N_vvr,N_vrr,N_rrr
0.07559148960223197,0.042486517949236934,0.007174932324834707,0.0035752806366905407,-0.024130973424554003,-0.12284542794069472,-0.08447435209277016,0.17213658457404302,-0.3577341492371863,0.08136822439327565,-5.076452590669108,-2.435417411212987,-0.8199503962399264,0.0168924379096575,-0.1889238677333134,-0.06571119207308485,-0.12738793437372448,-0.8129262797112495,-0.20876599418592168,-0.051548967361708345
0.07913795880947695,0.04406203391696427,0.006849586906335248,0.008240350840817213,0.04833875327858053,0.1288877837875256,0.00877650394514351,1.0365924476840913,-0.051283198443603795,0.18427982428308706,-2.704887155173904,0.6913662469113531,-0.26733451274087416,-0.03682163267489531,-0.17687578410881194,-0.056235382715899486,-0.35729912468486463,-0.023044819679795325,0.2501473813831337,-0.024836796129335918
0.08071059465063753,0.044253109148955486,0.006880820923713492,0.00838524024745648,-0.007304657611395232,0.05137703750256703,-0.011293975694413566,0.8605217105234364,-0.11995228490251714,0.18209824038459246,-3.54682773501599,0.23429708642940872,-0.29591011238966325,-0.11546893866202362,-0.19504888555165042,-0.055731951398498604,-0.15861013893450904,-0.024207933101467072,0.256919580011638,-0.034896340525878464
0.07980182509230158,0.04133617139029249,0.0076983202484503625,0.0032993885342319056,0.041443286372596116,-0.058881197746085745,-0.07095695528592237,0.3607354069728901,-0.486659950634223,0.036711604570567935,-4.827127329287437,-1.634842065597415,-0.4221043913671878,0.029638574458199396,-0.15966398805444337,-0.054563618416010345,-0.3143213815337088,-0.9464289651140531,-0.21503767389572243,-0.04111364461177219
0.08650726962207171,0.04247565365989479,0.007030056566857945,0.0012689744850472031,-0.06455643884558235,0.010215578874961967,-0.03606042980586311,0.3390812912623935,-0.4643820766612023,0.037694693389379585,-1.0788765048901823,0.3333540857177164,-0.7526128606014779,-0.114618918858686,-0.1624200975245549,-0.05238221382644259,-0.17008014324895715,-0.005541067302747615,0.21449972262711753,-0.02200674756517995
0.08362602518716071,0.03997452311924852,0.0075706649620694184,0.00038613101388006946,0.03759503719791271,-0.0002932350587086796,-0.04660856513199788,-0.35264387604422054,-0.38203197270584793,0.055038012049671015,-0.2697736282839287,0.7329150827132258,-0.5994662123512877,-0.04060106052303575,-0.11648987503514288,-0.033740204332946416,-0.16824009432987197,-0.3060115124535564,0.022982419352481964,-0.05213587683936092
0.08440201191341103,0.043022697032126876,0.00701585904194643,0.0014124298841153818,0.06255786165128879,0.05837784902194984,-0.03572807355760858,0.5550386816302544,-0.35836870357850076,0.06073485851928237,-5.136873505155454,-2.1226635590307033,-0.8723259104111123,0.00017240081596579804,-0.17245935984074978,-0.057290731693561504,-0.009619113608691388,-0.5694217008188545,-0.012847876871001196,-0.009441791155436328
0.08302712841906949,0.041650986812871674,0.007109003763802645,0.0036751132283179195,0.1303392838895675,0.08019942295654711,-0.03411542030941255,0.6112794370325898,-0.28036611478329343,0.09853597513468035,-5.480710146439448,-2.2664208680097486,-0.9528434294960093,-0.04975580411697869,-0.1471624395543515,-0.048635719767940004,-0.07678863658210999,-0.6075049950193094,-0.04534762791556146,-0.017193671649928043
0.08553574883716868,0.04212684315453028,0.007277208994693087,0.003913070372884036,-0.1344054622066696,-0.11603798600213946,-0.060959285049906,-0.12400178367785775,-0.4043011993545269,0.06617129860429544,-2.944835376167384,0.4174832755176423,-0.14684964211878793,-0.04676639778182169,-0.120423266638372,-0.038861410066389004,-0.17792868906790393,-0.0870577280709327,0.09882722245911735,-0.04859745299907054
0.08254191569427222,0.04160511401025268,0.007245352173296916,0.0027478305353000406,0.18920670281671764,0.024619906041020573,-0.07473584484509799,1.1621816312701938,-0.30589710334454534,0.11105145646129663,-5.123698760163836,-1.6977509697831643,-0.5812419326436624,-0.0359820679826021,-0.1809325534834198,-0.061522526930978205,-0.23239937895271884,-0.5867722225642398,-0.015105712727656873,-0.020110503673641214
0.08322346750646342,0.04271180155801602,0.007483411534381265,0.014998727060992501,-0.11053525687146347,-0.017262356749173507,0.024467950852629053,-1.1347182439982153,-0.44723788710729606,0.050392163599770445,0.08390074754094012,-0.00607700307579595,-0.8655610909111413,-0.06753017955664609,-0.13974931325710055,-0.0374113686503592,-0.06506809533133717,-0.20658977942804368,0.07641377269988053,-0.05378763275872417
0.08107344924934662,0.043743326605645914,0.007647986172020958,0.004652959983741845,-0.056181418905691144,0.13483630574095803,0.02577157704672249,0.5116439337250491,-0.4974874471109532,-0.01445521885032608,0.6251311953566248,0.8417616636891116,-0.6610043823559626,0.033794014568492264,-0.19442404861857077,-0.06825508094782234,0.26317979831798133,-0.5487631385482823,-0.16122248661054073,-0.05080362564479964
0.08658135670721079,0.04089095579891452,0.006991360507544681,0.008015756503597003,0.19493949423214402,0.06661199621202943,-0.01382581011748961,-1.0600334668253706,-0.09746087214976562,0.1663688293062989,-5.932721586687297,-0.8393029306968167,-0.4364835616662437,-0.11201827008291398,-0.09838805969775453,-0.028491935515147143,-0.4227479855314057,-0.14435787684550272,0.22894838697061387,-0.004658687371843946
