sigma_u,sigma_v,sigma_r,R_0,X_vv,X_vr,X_rr,X_vvvv,Y_v,Y_r,Y_vvv,Y_vvr,Y_vrr,Y_rrr,N_v,N_r,N_vvv,N_vvr,N_vrr,N_rrr
0.021777210976191435,0.011788108794411622,0.027816977775147963,0.030747781626204562,0.04454044774945237,-0.1406041545858756,-0.07306128230026812,1.9666800764318895,-0.12486177991708014,0.18462473255496042,-9.038443510364907,-0.13017185277276866,-0.35178455882374715,-0.057000870391248126,-0.2542919610608452,-0.1312550261556601,-0.31370304827228435,-1.0430498226181246,0.13840972812551944,0.013101778055227747
0.021768441591684323,0.011789847308032939,0.027817379968774328,0.03073532592613082,0.04455228371400388,-0.14055960055635908,-0.07307763498768412,1.9666402801697558,-0.12484651622785137,0.18460064475526844,-9.038428072729213,-0.1300922253286716,-0.3517443469537178,-0.05701413405470751,-0.25428946359209686,-0.131254642293665,-0.3136323094050508,-1.0429729119654771,0.13838830002618152,0.013101915194808411
0.021759097038896367,0.011796438957293936,0.027798760511306128,0.030803930293696546,0.04453690671762134,-0.14050396380688834,-0.07309549426816431,1.9669546758730565,-0.12489201292097063,0.18472808187381623,-9.03823358942502,-0.12970121271719037,-0.3515892950490045,-0.057061537169028675,-0.25430466720264816,-0.13125590244604035,-0.3137620292221942,-1.0427764526753978,0.13846940561008103,0.013099619089919329
0.02176636723882258,0.011799680677439237,0.027784244616274142,0.030788417469022444,0.04448736009049342,-0.14048063604519095,-0.07310881564565654,1.9671063025622217,-0.12499564695001242,0.18475115376338735,-9.03850853528127,-0.1296837467193317,-0.3516105817384947,-0.05706189529238742,-0.2542976651093307,-0.1312529384927378,-0.3138728337055685,-1.0427627807832458,0.13834847270239203,0.013092176663752314
0.02176136395321537,0.011803526450238515,0.02778168832072496,0.03077381897473125,0.04450872375330517,-0.14044448184143327,-0.07311778533263946,1.9670576080866944,-0.12506347896749104,0.18477385105986055,-9.038758287240778,-0.12941502113157366,-0.3512891356937491,-0.05706385191444982,-0.2542975835101965,-0.1312536521829838,-0.31393380779803937,-1.0427504605592588,0.13833110159470974,0.013089030833655216
0.021759219270592246,0.0118026844408467,0.027781398845530672,0.03072897482898629,0.044434991481844044,-0.14041583635802296,-0.0731206408156418,1.9670348142667002,-0.12505561475822846,0.18476701058115286,-9.038704714421943,-0.1294718576552656,-0.35110663217991434,-0.057045476355752134,-0.2542894172777145,-0.13124854331030958,-0.31395790326834405,-1.0427022257187366,0.13831949748380568,0.013090888283001409
0.021771517638917312,0.011802160844976749,0.0277883649821549,0.03073226509697613,0.04440091392674911,-0.140420529747037,-0.07310313001551617,1.966865717611169,-0.12506148244851045,0.18491251409521586,-9.038768848957647,-0.12978365493665933,-0.3510711837633431,-0.05708986467205221,-0.2542727996361427,-0.13124826621766855,-0.3140224294371452,-1.0429899513413003,0.1384230227110136,0.013077830172700353
0.021778332582279607,0.011800966022319646,0.02779897209408201,0.0306666023810932,0.04444898825343441,-0.14048378885845564,-0.07308274790933011,1.966882032988627,-0.12504281299512043,0.18492649585459386,-9.038231580651706,-0.12972472523089174,-0.35110447593363636,-0.05710473149641729,-0.2542729514594827,-0.1312441772653015,-0.3140630704730202,-1.0430489514511259,0.1384154592561886,0.01307318306725544
0.021777424982893354,0.011799694866332103,0.027791203050939434,0.030659470037909753,0.04448514760868888,-0.1404631612077225,-0.07306746411486609,1.9665884211079634,-0.1250725258052683,0.18490870650671465,-9.038043007958942,-0.13004739267383236,-0.3511701911403917,-0.05714494755027508,-0.25427355737942814,-0.13124526969282013,-0.3139677026597433,-1.043046678667917,0.1383613615294681,0.013075203407774641
0.02177996809918616,0.011799769554094307,0.027799084554632134,0.030660558489541245,0.0444546100605846,-0.14052191362043231,-0.07307676369325772,1.96659211991369,-0.12505668993895536,0.18493149982333024,-9.03795790392443,-0.12997110561488778,-0.3515029171879598,-0.057135878842993204,-0.2542739043449386,-0.13124564718320303,-0.3139962332673588,-1.0428243231805316,0.13836500771484672,0.01307456102393191
0.021779574655351224,0.011800738756761757,0.027803069437202912,0.030650609164683207,0.04445917060885929,-0.14051252302368755,-0.07308032050190708,1.966578371057472,-0.12508029990644498,0.18492568666047332,-9.037967623062732,-0.1301238199962249,-0.3515490989305252,-0.057133728590835875,-0.2542774544872717,-0.13124736794018332,-0.3140594379322128,-1.0428315645252135,0.13832527108711823,0.01307666302198729
0.02177625678494306,0.01179699267672399,0.027804828011540026,0.030640814079708034,0.04440914746424085,-0.14042934587107175,-0.07308358192200694,1.966472333907599,-0.12510210857750392,0.18494248494737026,-9.038353936064446,-0.12959277308142614,-0.35131976076650573,-0.05711788769564266,-0.2542890507843447,-0.13124667036248583,-0.31396492229284256,-1.0428924945236915,0.1382841873237236,0.013081227689378236
0.02177667329168442,0.011796871680592076,0.02780678495970385,0.030643931517155554,0.04439940098827677,-0.14042659884756864,-0.07308062960594279,1.9665615082176542,-0.12516712585139045,0.18492352185468913,-9.038136735401455,-0.12934854092976789,-0.35128103008671285,-0.05712307119113155,-0.25428911580942976,-0.13124550193105983,-0.31389651299010835,-1.0428939533066486,0.1383025229762339,0.013081323810058262
0.021775950019618514,0.011799908656216563,0.027814961722357284,0.030627594916050827,0.04435102730131735,-0.14047672787223503,-0.07309534984121745,1.9663457837919687,-0.12516651087355468,0.18488712402043633,-9.038302362348478,-0.12956889506530178,-0.3515996794439189,-0.05712891277367141,-0.25427967887428604,-0.13124112427406084,-0.31383289893988,-1.042998678804314,0.13829598911348795,0.013088421532775188
0.021775312489775975,0.011801798075966853,0.02781370656990449,0.030636705828025024,0.044311564046010665,-0.14046032734921787,-0.07309648882753049,1.9664574677844762,-0.12514999844012198,0.18491660384339825,-9.038435556656893,-0.12940892035562612,-0.3514166467308568,-0.05712490690015462,-0.2542772150780842,-0.1312433787826357,-0.3138060586940964,-1.043089982609326,0.1383070001862421,0.01308925696867827
