time,u,v,r,δ,n_p,x,y,ψ
0.0,0.67,0.0,0.0,0.0,9.243593911666666,0.0,0.0,0.0
0.05,0.67,-6.7162e-6,1.733752483065851e-5,0.012153981199278347,9.243593911666666,0.0335,-1.624e-7,4.351001105466743e-7
0.1,0.669999417,-4.11161e-5,0.00010537819803326716,0.0243079623811034,9.243593911666666,0.066999985,-1.3014e-6,3.511410468794871e-6
0.15,0.669997329,-0.000103443,0.0002616565675064587,0.03646194356292846,9.243593911666666,0.100499904,-4.6601e-6,1.270213977687181e-5
0.2,0.669992842,-0.000193856,0.00048364223744739936,0.0486159247622068,9.243593911666666,0.133999658,-1.1378e-5,3.1355625410241526e-5
0.25,0.669985089,-0.000312435,0.0007687453835922248,0.06076990594403185,9.243593911666666,0.167499107,-2.249e-5,6.269215691846623e-5
0.3,0.669973231,-0.000459181,0.001114323874159388,0.0729238871433102,9.243593911666666,0.200998066,-3.89278e-5,0.00010980129869013378
0.35,0.669956458,-0.000634023,0.0015176918394162883,0.08507786832513527,9.243593911666666,0.234496312,-6.15199e-5,0.00017563932431885723
0.4,0.669933992,-0.000836817,0.0019761292011769844,0.0972318495244136,9.243593911666666,0.26799358,-9.09926e-5,0.00026302747127402267
0.45,0.669905082,-0.001067356,0.002486892109871124,0.10938583070623864,9.243593911666666,0.30148957,-0.000127972,0.0003746503002912929
0.5,0.669869011,-0.001325368,0.0030472236259589634,0.12153981190551699,9.243593911666666,0.334983945,-0.000172983,0.0005130548750678582
0.55,0.66982509,-0.001610528,0.0036543646631457803,0.13369379308734206,9.243593911666666,0.368476335,-0.000226456,0.000680650395743294
0.6,0.66977266,-0.001922457,0.004305564669796895,0.1458477742866204,9.243593911666666,0.401966337,-0.000288722,0.0008797083036193159
0.65,0.669711095,-0.00226073,0.004998092083459888,0.15800175546844547,9.243593911666666,0.435453518,-0.000360023,0.0011123629618381874
0.7,0.669639795,-0.002624879,0.005729244034895244,0.1701557366677238,9.243593911666666,0.468937416,-0.000440505,0.001380612946926368
0.75,0.669558189,-0.003014398,0.006496355423788458,0.18230971790190872,9.243593911666666,0.502417543,-0.00053023,0.001686322584684252
0.8,0.669465733,-0.003428748,0.007296807104344235,0.19446369897901405,9.243593911666666,0.535893382,-0.000629172,0.0020312241493010297
0.85,0.669361912,-0.00386736,0.008128033198216048,0.20661768023065225,9.243593911666666,0.569364397,-0.000737224,0.002416920271909052
0.9,0.669246234,-0.004329639,0.00898752734278486,0.21877166148229046,9.243593911666666,0.602830024,-0.0008542,0.0028448867680172197
0.95,0.669118232,-0.004814967,0.009872848136586398,0.23092564255939574,9.243593911666666,0.636289682,-0.000979835,0.0033164758314635162
1.0,0.668977464,-0.005322709,0.010781623554994155,0.24307962381103398,9.243593911666666,0.669742768,-0.001113795,0.003832919280727414
1.05,0.668823507,-0.00585221,0.011711554405971311,0.25523360506267223,9.243593911666666,0.70318866,-0.001255673,0.004395332171761426
1.1,0.668655962,-0.006402803,0.012660417122597526,0.26738758613977753,9.243593911666666,0.736626719,-0.001404997,0.0050047164806358325
1.15,0.668474452,-0.00697381,0.01362606556075809,0.2795415673914158,9.243593911666666,0.770056289,-0.001561233,0.005661964960716318
1.2,0.668278615,-0.007564542,0.014606432220874382,0.29169554864305397,9.243593911666666,0.8034767,-0.001723786,0.006367864999841629
1.25,0.668068111,-0.008174303,0.015599528771502653,0.3038495297201593,9.243593911666666,0.836887266,-0.001892006,0.007123102634580847
1.3,0.667842618,-0.008802389,0.01660344608424061,0.31600351097179746,9.243593911666666,0.870287286,-0.002065188,0.00792826637250445
1.35,0.66760183,-0.009448094,0.017616353622862173,0.3281574920489028,9.243593911666666,0.903676048,-0.002242578,0.008783851293708062
1.4,0.66734546,-0.010110705,0.018636498623012736,0.34031147330054107,9.243593911666666,0.937052828,-0.002423375,0.009690262873083503
1.45,0.667073234,-0.010789509,0.019662204748305635,0.3490658503988659,9.243593911666666,0.970416888,-0.002606734,0.010647820820043154
1.5,0.666789078,-0.011481163,0.02068509649527311,0.3490658503988659,9.243593911666666,1.003767587,-0.002791707,0.011656592975535044
1.55,0.666503577,-0.012178496,0.02168730132585559,0.3490658503988659,9.243593911666666,1.037104643,-0.002977085,0.012715990151310278
1.6,0.666216595,-0.012881158,0.02266935713307526,0.3490658503988659,9.243593911666666,1.070428034,-0.003161505,0.01382499145192949
1.65,0.665928003,-0.013588808,0.023631788056759768,0.3490658503988659,9.243593911666666,1.103737733,-0.003343619,0.014982602458598069
1.7,0.665637671,-0.014301114,0.024575103139638767,0.3490658503988659,9.243593911666666,1.137033707,-0.003522099,0.016187854635754197
1.75,0.665345473,-0.015017754,0.025499798945337732,0.3490658503988659,9.243593911666666,1.170315914,-0.003695633,0.017439804667843763
1.8,0.665051292,-0.015738414,0.02640635943620496,0.3490658503988659,9.243593911666666,1.203584309,-0.003862928,0.018737533743735338
1.85,0.664755012,-0.016462788,0.027295256235110907,0.3490658503988659,9.243593911666666,1.236838838,-0.004022707,0.020080147033121436
1.9,0.664456524,-0.01719058,0.0281669492014069,0.3490658503988659,9.243593911666666,1.270079443,-0.004173709,0.021466772988386774
1.95,0.664155723,-0.017921502,0.02902188672763107,0.3490658503988659,9.243593911666666,1.303306059,-0.004314692,0.022896562786102942
2.0,0.663852506,-0.018655275,0.029860506053667617,0.3490658503988659,9.243593911666666,1.336518613,-0.004444428,0.024368689803429603
2.05,0.663546777,-0.019391629,0.030683233668172577,0.3490658503988659,9.243593911666666,1.369717029,-0.004561703,0.025882348954889407
2.1,0.663238442,-0.020130299,0.031490485430746805,0.3490658503988659,9.243593911666666,1.402901222,-0.004665322,0.027436756256035637
2.15,0.662927413,-0.020871031,0.03228266685118871,0.3490658503988659,9.243593911666666,1.436071104,-0.004754102,0.02903114828240019
2.2,0.662613603,-0.021613578,0.03306017331638705,0.3490658503988659,9.243593911666666,1.469226579,-0.004826877,0.030664781576081594
2.25,0.662296931,-0.022357701,0.033823390160134074,0.3490658503988659,9.243593911666666,1.502367546,-0.004882494,0.03233693222686599
2.3,0.661977319,-0.023103166,0.034572692959831515,0.3490658503988659,9.243593911666666,1.535493897,-0.004919814,0.03404689536608167
2.35,0.661654693,-0.023849749,0.03530844755394389,0.3490658503988659,9.243593911666666,1.568605519,-0.004937713,0.035793984608093715
2.4,0.66132898,-0.024597232,0.036031010268891286,0.3490658503988659,9.243593911666666,1.601702294,-0.004935081,0.03757753168378482
2.45,0.661000112,-0.025345402,0.03674072804122241,0.3490658503988659,9.243593911666666,1.634784097,-0.00491082,0.03939688588204995
2.5,0.660668025,-0.026094054,0.03743793852233435,0.3490658503988659,9.243593911666666,1.667850797,-0.004863846,0.041251413578557494
2.55,0.660332655,-0.026842991,0.03812297018319234,0.3490658503988659,9.243593911666666,1.70090226,-0.004793089,0.04314049785177671
2.6,0.659993943,-0.027592018,0.038796142419049495,0.3490658503988659,9.243593911666666,1.733938344,-0.004697491,0.04506353790701921
2.65,0.659651831,-0.028340949,0.03945776561925998,0.3490658503988659,9.243593911666666,1.766958901,-0.004576004,0.04701994872737302
2.7,0.659306267,-0.029089603,0.040108141184732334,0.3490658503988659,9.243593911666666,1.799963779,-0.004427598,0.04900916053265051
2.75,0.658957197,-0.029837802,0.04074756163264918,0.3490658503988659,9.243593911666666,1.832952821,-0.004251249,0.051030618360509455
2.8,0.658604574,-0.030585377,0.04137631056156067,0.3490658503988659,9.243593911666666,1.865925862,-0.00404595,0.05308378163012061
2.85,0.65824835,-0.031332161,0.04199466277355756,0.3490658503988659,9.243593911666666,1.898882733,-0.003810702,0.05516812368838219
2.9,0.657888482,-0.032077994,0.04260288418700465,0.3490658503988659,9.243593911666666,1.931823261,-0.003544519,0.05728313137358754
2.95,0.657524928,-0.032822718,0.04320123202852712,0.3490658503988659,9.243593911666666,1.964747267,-0.003246427,0.05942830454418618
3.0,0.657157648,-0.033566182,0.04378995483301045,0.3490658503988659,9.243593911666666,1.997654564,-0.002915462,0.061603155729718063
3.05,0.656786607,-0.034308239,0.04436929256577348,0.3490658503988659,9.243593911666666,2.030544963,-0.002550672,0.06380720964212126
3.1,0.65641177,-0.035048744,0.04493947681455468,0.3490658503988659,9.243593911666666,2.063418269,-0.002151115,0.06604000275685304
3.15,0.656033105,-0.035787559,0.045500730876778535,0.3490658503988659,9.243593911666666,2.096274282,-0.001715861,0.06830108298127724
3.2,0.655650581,-0.03652455,0.04605327003880829,0.3490658503988659,9.243593911666666,2.129112796,-0.001243987,0.07059000914851883
3.25,0.655264172,-0.037259584,0.04659730178538541,0.3490658503988659,9.243593911666666,2.161933601,-0.000734586,0.07290635077311786
3.3,0.654873849,-0.037992536,0.04713302602652244,0.3490658503988659,9.243593911666666,2.194736481,-0.000186756,0.07524968750997722
3.35,0.654479591,-0.038723282,0.047660635446568775,0.3490658503988659,9.243593911666666,2.227521215,0.000400391,0.07761960892747005
3.4,0.654081374,-0.039451704,0.04818031571365024,0.3490658503988659,9.243593911666666,2.26028758,0.001027735,0.08001571407110726
3.45,0.653679177,-0.040177686,0.04869224584618824,0.3490658503988659,9.243593911666666,2.293035344,0.001696146,0.08243761113192508
3.5,0.653272982,-0.040901117,0.049196598474699066,0.3490658503988659,9.243593911666666,2.325764273,0.002406484,0.08488491716723233
3.55,0.65286277,-0.04162189,0.049693540155953245,0.3490658503988659,9.243593911666666,2.358474126,0.003159597,0.087357257716638
3.6,0.652448526,-0.0423399,0.050183231634774894,0.3490658503988659,9.243593911666666,2.39116466,0.003956326,0.08985426654025185
3.65,0.652030236,-0.043055047,0.050665828158200955,0.3490658503988659,9.243593911666666,2.423835625,0.004797502,0.09237558532197843
3.7,0.651607885,-0.043767236,0.05114147966746749,0.3490658503988659,9.243593911666666,2.456486768,0.005683946,0.09492086337281117
3.75,0.651181462,-0.044476372,0.05161033111216887,0.3490658503988659,9.243593911666666,2.489117829,0.006616467,0.09748975736903287
3.8,0.650750957,-0.045182367,0.05207252264224401,0.3490658503988659,9.243593911666666,2.521728545,0.00759587,0.10008193110786974
3.85,0.65031636,-0.045885134,0.05252818979996266,0.3490658503988659,9.243593911666666,2.55431865,0.008622945,0.10269705528059853
3.9,0.649877664,-0.046584592,0.052977463694458195,0.3490658503988659,9.243593911666666,2.586887871,0.009698475,0.10533480717584051
3.95,0.649434862,-0.047280661,0.05342047121116724,0.3490658503988659,9.243593911666666,2.61943593,0.010823235,0.10799487057484183
4.0,0.64898795,-0.047973264,0.053857335168909275,0.3490658503988659,9.243593911666666,2.651962548,0.011997987,0.11067693540240757
4.05,0.648536923,-0.048662329,0.05428817445951293,0.3490658503988659,9.243593911666666,2.684467439,0.013223487,0.11338069767454194
4.1,0.64808178,-0.049347788,0.05471310418744239,0.3490658503988659,9.243593911666666,2.716950312,0.01450048,0.11610585914938229
4.15,0.64762252,-0.050029572,0.055132235861783535,0.3490658503988659,9.243593911666666,2.749410875,0.015829702,0.11885212732719934
4.2,0.647159142,-0.05070762,0.055545677500963814,0.3490658503988659,9.243593911666666,2.781848829,0.017211879,0.12161921513623772
4.25,0.646691649,-0.05138187,0.0559535338421916,0.3490658503988659,9.243593911666666,2.814263872,0.01864773,0.12440684081054294
4.3,0.646220043,-0.052052265,0.05635590646362939,0.3490658503988659,9.243593911666666,2.846655698,0.020137963,0.12721472775033518
4.35,0.645744328,-0.052718751,0.05675289394147331,0.3490658503988659,9.243593911666666,2.879023997,0.021683276,0.13004260439983611
4.4,0.645264509,-0.053381275,0.057144592007032834,0.3490658503988659,9.243593911666666,2.911368454,0.023284359,0.13289020402037618
4.45,0.644780592,-0.054039788,0.05753109370381041,0.3490658503988659,9.243593911666666,2.943688751,0.024941892,0.13575726460312804
4.5,0.644292584,-0.054694244,0.05791248947476786,0.3490658503988659,9.243593911666666,2.975984566,0.026656548,0.13864352876438693
4.55,0.643800492,-0.055344597,0.058288867354312664,0.3490658503988659,9.243593911666666,3.008255575,0.028428988,0.141548743536131
