time,u,v,r
0.0,0.7006442782906541,-0.009669831859712269,0.0022580423231739386
0.05,0.6807843431613417,-0.00741058000533291,-0.008689716139593686
0.1,0.7040521363158572,0.005039283511749322,-0.0014220870457210227
0.15,0.6892852652671374,-0.0015315578123753853,-0.005975475714999097
0.2,0.6968084847073165,0.001681762705980791,0.03391490902305852
0.25,0.6881614220577656,0.0016004316868185563,0.026256223662386866
0.3,0.6522648171619373,-8.792401528000834e-5,0.005829364836506656
0.35,0.6762480870970629,0.016248485150982712,0.05045389912156518
0.4,0.6967462935293217,-0.007885304640519208,0.0268986160672427
0.45,0.6938632291148393,-0.029503192485523525,0.02606720698504697
0.5,0.6856704955062422,-0.014558075941639334,0.021149751183340594
0.55,0.6998986601815381,-0.010148940042084642,0.0046002038722770195
0.6,0.6913875816674331,-0.01989466220781563,0.0296461664992134
0.65,0.6408292066672627,0.014911870046669145,-0.0063430485508765766
0.7,0.6897155814232461,-0.007055638890196507,0.017210910752483998
0.75,0.6790297013463175,0.004798598882602138,-0.003885814864978035
0.8,0.664893670277348,0.0023605942826595764,0.03263011824156307
0.85,0.6627244220329633,-0.0029796474080492122,-0.01661518161865887
0.9,0.6364828705326048,0.007514085759524048,0.010801487851924205
0.95,0.6372973760455912,-0.002058513033155983,-0.012476089140239816
1.0,0.649827567659327,0.0005926870420035714,-0.006586333429811721
1.05,0.6611465313445926,-0.012210231751690014,-0.015086917359239196
1.1,0.6659339451575809,0.008427067866732528,0.023766899351157472
1.15,0.7042748944947954,-0.00546427692992275,0.024028456139966965
1.2,0.6838924423226855,-0.007901298950823983,0.03704132521039386
1.25,0.66717754238639,-0.022545094573115362,0.04169579342921976
1.3,0.7057593719956701,-0.01152534415564455,0.017219530048680588
1.35,0.6685629556504917,0.0020203083498283904,0.008949445128074005
1.4,0.681283278153372,0.006940181976861361,0.003919776856329165
1.45,0.6477635592350542,-0.006721992068831862,0.009528867398180948
1.5,0.6534170366266542,-0.006171610233365905,-0.016553656774228615
1.55,0.6545785134639549,-0.00686026626393059,-0.004365639671693428
1.6,0.6751643172452696,-0.023373433739611923,-0.016843946787856785
1.65,0.6914813338506082,-0.007004707053033283,0.010532897541119203
1.7,0.6709639904648681,-0.004322635838981995,0.059717839975022786
1.75,0.6681618923118234,-0.018021215605742835,0.022531033555427085
1.8,0.697898686936493,-0.024345329530525418,-0.001158218974683687
1.85,0.6430167622038785,-0.014453127458762437,0.03815858547403444
1.9,0.6566545800790322,-0.026014737951264244,0.04301809628172723
1.95,0.6544733373015718,-0.025900994604662816,-0.008756754064875472
2.0,0.6599378211469639,-0.017471779923137292,0.00943957859181167
2.05,0.6479789471937655,-0.0035937234905395223,0.01582910071939375
2.1,0.6664792012820147,-0.028384111439271408,0.024278531135280966
2.15,0.6900853463182215,-0.03781632723599293,0.022359212610037968
2.2,0.6636529176354483,-0.023592509799777343,0.06375666691835659
2.25,0.7140802219787494,-0.029359959013761972,0.0658837840825897
2.3,0.6921870373453776,-0.013900535481898176,0.03966616284216348
2.35,0.7030415388461317,-0.025685049874359565,0.023691896173387735
2.4,0.6564061050038975,-0.015616160343872643,0.040483689034029983
2.45,0.6553538292025712,-0.02904802787456106,0.03173564833975074
2.5,0.6585125005912725,-0.026230000372332248,0.008611920632033813
2.55,0.685653597305474,-0.02381972252612906,0.06432797402664409
2.6,0.6217361314328891,-0.028888994979495895,0.024457682039594142
2.65,0.6406137200463513,-0.013051183194971533,0.06531706158451893
2.7,0.723660647044095,-0.018359836611708823,0.0021461309646836346
2.75,0.6399140350805658,-0.02930162790282254,0.04464663203448437
2.8,0.6663539893090784,-0.033799992688728575,0.02177712348769721
2.85,0.6759830352376714,-0.053640311653561076,0.03121390806072821
2.9,0.6533458537335047,-0.02658938404711433,0.06511735037640587
2.95,0.6857017254811196,-0.05194937372458704,0.03187737941142898
3.0,0.6817833990435723,-0.024663478454859118,0.026014358956831213
3.05,0.647363156152722,-0.04934106577762777,0.04644109015351284
3.1,0.6684937934318698,-0.03964125498412023,0.03158250874536996
3.15,0.6369012317012792,-0.0373518148748293,0.024534815121619383
3.2,0.6554779849043603,-0.030788530503161597,0.03882735123905686
3.25,0.6440941174021871,-0.026298047645559396,0.022814912212776258
3.3,0.6554050634871268,-0.045932446052762685,0.036382233417082965
3.35,0.6134852350155351,-0.04012088169230053,0.02043216407614297
3.4,0.6523206034148514,-0.048790817054072635,0.056377843955166165
3.45,0.6590086333360677,-0.04038295343892586,0.029276538206530818
3.5,0.6514454044254789,-0.041901317804687435,0.046857600474967696
3.55,0.6701025590581012,-0.04603560901560568,0.047883249720995925
3.6,0.6429247572244392,-0.046422248307935426,0.05472421893383485
3.65,0.6465766993456777,-0.036890497065173646,0.02636446390123076
3.7,0.650313591563461,-0.03473748908422611,0.03819990351911792
3.75,0.6620168199747387,-0.042328087336489316,0.04567122144675608
3.8,0.6552033352603256,-0.047492272370663675,0.03542116906225279
3.85,0.6504978903694102,-0.053372193122457064,0.03174299927394601
3.9,0.6462559797873053,-0.06182891918499914,0.036075291055911646
3.95,0.6587236268254374,-0.051752956191455673,0.08819488519311494
4.0,0.6815880646144521,-0.053487748400062214,0.042174862068865136
4.05,0.6543028962013572,-0.057320351954050226,0.03542081641967913
4.1,0.6715600058019349,-0.04002613598820139,0.05958857697303425
4.15,0.6268818701011848,-0.05473451575959855,0.036691106589210015
4.2,0.6310037851333623,-0.0660329397014456,0.04565243117057447
4.25,0.6039047770366452,-0.0453068768799868,0.07388451273466906
4.3,0.6436134170916271,-0.037983035952542946,0.029158534443152636
4.35,0.6547298207051039,-0.04079209425556171,0.0746631189768871
4.4,0.619127454918775,-0.055286318830713485,0.05678344913291439
4.45,0.649410175250016,-0.044783497969650046,0.08738021689269274
4.5,0.636096138176714,-0.049704230578204917,0.0495934806681081
4.55,0.6452453570998218,-0.0555252630746504,0.05011217641350594
4.6,0.6075413150603359,-0.029510493568747048,0.0853619568044217
4.65,0.6517551155598373,-0.05699520467725225,0.06869057413277248
4.7,0.6718493700766077,-0.04589128268538348,0.07100514939163535
4.75,0.6433195833336046,-0.04793870500228423,0.06344821467176685
4.8,0.6737548952183815,-0.06341568745116347,0.056690555735211354
4.85,0.6311013818823591,-0.05514107901844586,-0.0040484837888830685
4.9,0.6386285642423171,-0.05342961415500535,0.048447070963309455
4.95,0.6417540637158703,-0.04850690986791459,0.05470466436656428
5.0,0.6684406317371824,-0.07367397928023137,0.07091873835973904
5.05,0.6425064601320848,-0.05985888530373534,0.07934582978300028
5.1,0.6161931302412258,-0.05734580592607036,0.096994388863167
5.15,0.6063996913712678,-0.05850220053785168,0.07226743888766718
5.2,0.6571925755490328,-0.08457025991584932,0.07407673669094306
5.25,0.6391914774974407,-0.07139773220264137,0.0643009054952358
5.3,0.6415923419431082,-0.06164290210850097,0.08471708514587376
5.35,0.5914808637438151,-0.0750070840874986,0.018533895555133656
5.4,0.6377986966092078,-0.05099537810914237,0.06533079517985378
5.45,0.5909314159055155,-0.06641201400834515,0.04959166226428247
5.5,0.6221468362389241,-0.058025425060939564,0.08286192739316911
5.55,0.6461674823439121,-0.059103480607619045,0.06867571436987224
5.6,0.6363832699951537,-0.06572362011070397,0.026411505023661255
5.65,0.612073309390747,-0.06647404203345864,0.05709093297137812
5.7,0.6362556831312579,-0.05566292859622297,0.05741887739171469
5.75,0.612912106052863,-0.07860859596775123,0.08047471626522709
5.8,0.6609030221492705,-0.07443391281158776,0.05946114671375331
5.85,0.6439964603450388,-0.07016109861928972,0.03687629691304667
5.9,0.6155471259825112,-0.06693220845543087,0.07948629078561573
5.95,0.5980332972620036,-0.07140043431591886,0.03958869257487867
6.0,0.6307630674541083,-0.09118480839119807,0.0683170909394834
6.05,0.6187617909300964,-0.07944182605805877,0.07478790108519547
6.1,0.629292776184858,-0.06124343496749151,0.02301352217897372
6.15,0.6141503950745951,-0.06684044577446696,0.053278367304056155
6.2,0.6313251810246131,-0.051331565816477964,0.09624260237529669
6.25,0.6401987003044894,-0.07445731504696107,0.04949751782772493
6.3,0.6265584422208773,-0.085552503955712,0.07111298994564487
6.35,0.6265505959189932,-0.0884931766791585,0.04984052434191909
6.4,0.6223973899975914,-0.06902912888070914,0.0515639051522212
6.45,0.6253449437380069,-0.07379130952020282,0.09110163549521509
6.5,0.6113438448180717,-0.061915713138740294,0.08108953888193686
6.55,0.5931087211329186,-0.07968469673123067,0.08746986312423283
6.6,0.5953394006235383,-0.07366936742919261,0.08513135731026356
6.65,0.6105567699555597,-0.08588109396919036,0.11233850775169965
