time,u,v,r,x,y,ψ,x1,y1,x2,y2,δ,n_p,X_F,Y_F,N_F
0.0,1.4,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-3.0,0.0,0.3490658503988659,21.21824,-2.5144115856401603,0.26991248150990144,3.4030513917825393
0.25,1.406961536545648,-0.005517059102846035,0.006822095458658925,0.35,0.0,0.0,3.35,0.0,-2.65,3.6739403974420594e-16,0.3490658503988659,21.21824,-4.093121327772679,-2.2537086930669137,-3.0756218904832666
0.5,1.413885416069456,-0.011755251031448742,0.013074585928767132,0.7017395634361031,-0.0013764189378220237,0.00171842114596792,3.701735133980435,0.0037788419628581667,-2.298256007108229,-0.006531679838501817,0.3490658503988659,21.21824,-13.218984478318776,-0.7017968474456413,-1.7549321532015016
0.75,1.4207319141506134,-0.018646539046490062,0.01870319651188695,1.0552163961932794,-0.003723093016457453,0.0049585097648828895,4.055179516040235,0.011152375321275004,-1.9447467236536762,-0.01859856135418946,0.3490658503988659,21.21824,5.6974947902996576,-0.29393416130410144,-3.6354626274276907
1.0,1.4274472037511092,-0.026038377464689216,0.023965121237544823,1.410417174870716,-0.006608001818126051,0.009640749385254844,4.410277759877473,0.022313798314580312,-1.5894434101360413,-0.03552980195083248,0.3490658503988659,21.21824,-0.5886602041607594,-6.591801234923849,2.1414258961390464
1.25,1.4340001954673784,-0.0339319638543906,0.028843339170444775,1.7673266761847544,-0.00967468916473694,0.015632150764531536,4.766960137442691,0.037219853183675176,-1.2323067850731821,-0.05656923151314874,0.3490658503988659,21.21824,7.3502067569617555,2.8258333742944983,5.491588353850313
1.5,1.4403526569572396,-0.042275160095557485,0.033425891571819515,2.125918526104935,-0.012558559172310696,0.022848609591175482,5.125135471732381,0.05598130559621783,-0.8732984195225105,-0.08109842394083945,0.3490658503988659,21.21824,-2.739613239625557,1.2993448361035278,4.756434049904647
1.75,1.4464506127021723,-0.05091216603323367,0.03773325383972125,2.486151719286677,-0.014879973773346109,0.031205648902951563,5.484691149031634,0.07872177976148184,-0.5123877104582804,-0.10848172730817361,0.3490658503988659,21.21824,4.587371635137232,-0.19687476485784972,7.681200406760709
2.0,1.4522772885010367,-0.05989943775526234,0.04180217078830426,2.847986409855022,-0.016322848981510252,0.040635438371051,5.84550989238266,0.10554991949414656,-0.14953707267261637,-0.13819561745716616,0.3490658503988659,21.21824,6.101139920170684,7.457774441774545,-13.684244910898736
2.25,1.4577953896161864,-0.06914240611995356,0.04567632245658953,3.2113651079196672,-0.016535858462976005,0.05108413818393886,6.207451575329088,0.13664991047833427,0.21527864051024684,-0.16972162740428542,0.3490658503988659,21.21824,9.949192095249105,-5.3499532399378165,-13.120313658772488
2.5,1.4629654790943312,-0.07859174832524826,0.04936386196320696,3.576217935633114,-0.015187381858906881,0.06249735782171153,6.570360962808921,0.17218266060918877,0.5820749084573066,-0.2025574243270019,0.3490658503988659,21.21824,14.996064488154905,-16.544520261293524,-24.00429925840612
2.75,1.4677722668374404,-0.08824838823099272,0.05291361855200637,3.942472477867156,-0.011960881189426039,0.0748404644789128,6.93407475598326,0.21235097665704647,0.9508701997510516,-0.23627273903589824,0.3490658503988659,21.21824,12.746909600337665,16.13228698979077,-47.934269315011264
3.0,1.4721937451287335,-0.0980336991786404,0.05631952756116444,4.310039171924525,-0.006524486416010473,0.08806868975547213,7.29841254843243,0.2573401807514796,1.3216657954166195,-0.27038915358350074,0.3490658503988659,21.21824,0.2606935556746029,4.350237200729352,-9.262887448230044
3.25,1.4761973673226532,-0.10783580074636505,0.05958729180287895,4.678814449326993,0.0014595136779606173,0.10214640874983294,7.663177219618733,0.30736612572911665,1.6944516790352528,-0.30444709837319456,0.3490658503988659,21.21824,10.040929469615802,-7.114579862113716,37.332780282237195
3.5,1.479766985607086,-0.11778942611430382,0.06278356988707534,5.048689949732099,0.012262987075096486,0.11705749852270007,8.028159721743679,0.36263404419789913,2.069220177720517,-0.33810807004770527,0.3490658503988659,21.21824,5.922552452804773,-27.830025594684844,-4.380739732864985
3.75,1.482871609797639,-0.12778512371840617,0.06587812440629885,5.419536089283037,0.026213218179672603,0.13276386594401193,8.393135535882251,0.42333578261645055,2.4459366426838214,-0.37090934625710476,0.3490658503988659,21.21824,-11.402944282698536,16.048657650915096,4.512480386923238
4.0,1.4855271542794877,-0.13774579805559609,0.06881528456970505,5.791224007874942,0.04362306806234314,0.14922127740185842,8.757885454800824,0.4896273946373588,2.8245625609490603,-0.4023812585126726,0.3490658503988659,21.21824,4.843342499811509,-7.036693973087714,0.9791050096149381
4.25,1.487685429338812,-0.1476060603398322,0.07167350655414927,6.163591579449817,0.06480552775235428,0.16642527689862993,9.122141324836093,0.561779776682562,3.2050418340635405,-0.4321687211778531,0.3490658503988659,21.21824,25.934712550199443,11.484011561720218,3.0487420671721193
4.5,1.489356578546202,-0.15746968927364224,0.07442194893949372,6.536488899943063,0.09001679554642468,0.18434035271490495,9.485661029737443,0.6399111025219365,3.587316770148682,-0.4598775114290872,0.3490658503988659,21.21824,-3.1324420233408214,12.87112694134605,34.839897913430526
4.75,1.4905176146669397,-0.16719072335118687,0.07708445535908393,6.909731477787929,0.1195745253934109,0.20294853050774933,9.848161085317358,0.724249183035396,3.971301870258501,-0.48510013224857346,0.3490658503988659,21.21824,10.295433296049039,-9.01771682305236,15.501510675849127
5.0,1.4911675760023104,-0.17679321824653155,0.0796330687263958,7.2831357264176475,0.15374035984721746,0.22221611277979691,10.209370022053358,0.8149157125679729,4.356901430781937,-0.5074349928735371,0.3490658503988659,21.21824,16.264523099710352,-2.107203626621707,12.341637113767533
5.25,1.4913099349876708,-0.18626871270928502,0.08207113158463943,7.656504431781124,0.192779757714727,0.24211895773040093,10.569000770082173,0.9120607037872482,4.744008093480075,-0.5265011883577932,0.3490658503988659,21.21824,20.267588076964735,-35.5045931634632,87.18585586037923
5.5,1.4909329632335047,-0.1955323357082101,0.08441697146566086,8.029619230865153,0.23696459504074865,0.2626366536420569,10.926745593079094,1.0158476680145692,5.132492868651214,-0.5419184779330714,0.3490658503988659,21.21824,9.316544846194203,-6.25128891508856,-6.924015449093167
5.75,1.4899987220656172,-0.20459915975361853,0.0866353024640151,8.402257595070807,0.28652801077922785,0.2837341382363859,11.282307965508222,1.126355292869601,5.522207224633391,-0.5532992713111452,0.3490658503988659,21.21824,-0.9790051192942989,8.14861521809639,41.02498886848572
6.0,1.488660013810098,-0.21338701336358556,0.08873482996005248,8.774193687577664,0.34171974121957255,0.30538372312684675,11.635388646310048,1.2436972399018689,5.912998728845283,-0.5602577574627234,0.3490658503988659,21.21824,10.034269229674367,-44.62429834403486,58.109485523643585
6.25,1.4867772403175339,-0.22192711732492534,0.09074119018372355,9.145175265341733,0.40274420898292373,0.3275690441187877,11.985657110498552,1.3679710669466483,6.304693420184913,-0.5624826489808005,0.3490658503988659,21.21824,-13.672522970432919,-51.110566997001484,56.24971541764447
6.5,1.4844111590525582,-0.2302754725092438,0.09264602853781734,9.514961515401586,0.4697842070895936,0.35025749457894323,12.33281467754168,1.4992032454885236,6.697108353261489,-0.5596348313093357,0.3490658503988659,21.21824,6.834494058835862,8.780634948799992,-68.63025696885323
6.75,1.4815811368325558,-0.23826852526076384,0.09440495885955555,9.8832830730983,0.5430600085359543,0.3734094836924114,12.676550094474292,1.6374362451628788,7.090016051722307,-0.5513162280909701,0.3490658503988659,21.21824,23.05452866105403,-16.74704248742334,-31.778479814224056
7.0,1.4783012910655828,-0.24589147851469914,0.09602893959666398,10.249872086739106,0.622739293371868,0.39699914064680064,13.016548391073623,1.7826971490914845,7.48319578240459,-0.537218562347748,0.3490658503988659,21.21824,1.9968563404343815,3.0355053249371258,41.1862890074301
7.25,1.4746024746087576,-0.25326249077214524,0.09756481380726494,10.614475671814317,0.7089444025644491,0.42100966786826577,13.352505988834732,1.934990887440647,7.876445354793902,-0.5171020823117478,0.3490658503988659,21.21824,19.621182098667305,-7.170823564260505,56.09337136844075
7.5,1.4704895823868307,-0.26032954831765986,0.09902659402312392,10.976811596368941,0.8018152785893219,0.44541584305401755,13.684106349687582,2.094314840930977,8.269516843050301,-0.4906842837523328,0.3490658503988659,21.21824,8.532894423082473,4.25831242323599,73.05661802712966
7.75,1.465986068243652,-0.2669955320698931,0.10031897309741328,11.336595120738188,0.9014784913803616,0.4701623803796088,14.011079330521866,2.2605716491947843,8.662110910954507,-0.45761466643406035,0.3490658503988659,21.21824,5.286981431306636,-21.152295552577037,-41.60600463075235
8.0,1.4611360666640287,-0.2733346031701579,0.10151626058303154,11.693563092561586,1.0080131550201523,0.4952404378784176,14.333126498961546,2.433742801064477,9.053999686161625,-0.41771649102417263,0.3490658503988659,21.21824,2.619886755772586,-29.05714800190587,-25.517423468457928
8.25,1.4559549116991894,-0.2793623331029248,0.1025919645500594,12.047439226512102,1.1214834178123705,0.5206137003679372,14.649981468764606,2.613721293384374,9.444896984259598,-0.3707544577596333,0.3490658503988659,21.21824,14.528192177678685,22.73966640617734,13.396807803615928
8.5,1.4504584792944357,-0.28503786186064745,0.10357174211415685,12.397941159373872,1.2419502744646063,0.5462615868536209,14.961358902361127,2.8004397594923782,9.834523416386618,-0.3165392105631655,0.3490658503988659,21.21824,13.736904268103148,-36.92422767114521,-103.01217701080925
8.75,1.4446730505263239,-0.2902885777721087,0.10444897029853241,12.74478578483357,1.369460451677887,0.5721547768403322,15.266994489600169,2.9937951615205565,10.222577080066975,-0.2548742581647816,0.3490658503988659,21.21824,8.248357313984828,36.73298221315512,-18.661594814392867
9.0,1.4386325227205126,-0.2953001667104029,0.10520912157049302,13.087732785085779,1.5039847740687653,0.5982616716650895,15.566680489384076,3.1936055242241297,10.60878508078748,-0.1856359760865993,0.3490658503988659,21.21824,20.943404520627272,-43.80694844223209,13.68477952582587
9.25,1.4323543401235812,-0.2999093607750204,0.10591212521463134,13.42649042911332,1.6455547611947239,0.624573415407094,15.860128346690429,3.399808587221905,10.992852511536213,-0.10869906483245789,0.3490658503988659,21.21824,14.1258671338217,1.2615262786032995,0.9190866561807944
9.5,1.4258779643164292,-0.30426500475142937,0.10650397207939556,13.760828653533537,1.794113939598103,0.6510499277776433,16.147172527134526,3.6121796471366174,11.37448477993255,-0.023951767940411213,0.3490658503988659,21.21824,18.321385904509572,-70.09982833349505,76.44212770383487
9.75,1.4192228717993982,-0.3082320447171458,0.10700027748750957,14.090471521135084,1.9496469911550263,0.6776719144819452,16.427575003578056,3.8305901886912865,11.75336803869211,0.06870379361876609,0.3490658503988659,21.21824,8.395034981086027,9.225655330406916,-30.223244575571297
10.0,1.4124065883372745,-0.31195265537968775,0.10744478305817262,14.41519557215862,2.1120682126571926,0.7044285065950237,16.701140895445302,4.054863615922219,12.129250248871937,0.16927280939216524,0.3490658503988659,21.21824,2.775585055702019,-66.24182901488808,100.38537906943188
10.25,1.4054636055519327,-0.31530699770819803,0.10777257802228406,14.734747913169315,2.2813243420381766,0.7312802055936429,16.96770809826393,4.284793536156774,12.5017877280747,0.2778551479195795,0.3490658503988659,21.21824,3.279786178750012,-20.19999422734505,-48.77109456479735
10.5,1.3983876937160744,-0.3184058000087287,0.10805524408323013,15.048911443069947,2.457302452421995,0.7582264546930044,17.227081553644513,4.520206950797485,12.870741332495381,0.3943979540465043,0.3490658503988659,21.21824,41.31136420353542,-10.416280728346448,51.44319609909262
10.75,1.3912404242571546,-0.3212014496854977,0.10825587802208946,15.357469299137763,2.6399138268988778,0.7852378844096974,17.479129618526095,4.760894140135396,13.235808979749432,0.5189335136623591,0.3490658503988659,21.21824,5.535525034636163,-45.74096267384494,26.790597315519925
11.0,1.3839969172806288,-0.3237659378729465,0.10841486056488903,15.660215143254245,2.8290210901777972,0.8123075812333714,17.72369088479325,5.006650044821071,13.59673940171524,0.6513921355345238,0.3490658503988659,21.21824,27.748157201623236,-73.26093457022355,-109.56635789771178
11.25,1.3767140267025288,-0.32604655296997587,0.10850240182156543,15.9569484477319,3.0245098897360347,0.8394107713875683,17.960652872671698,5.257258997333373,13.953244022792104,0.7917607821386965,0.3490658503988659,21.21824,20.844682296826548,-35.0755306968426,-9.677832432347946
11.5,1.3693875483064457,-0.3280969070097215,0.1085423621455191,16.247486013608178,3.2262280492451407,0.8665382037616756,18.189891901168227,5.512504359749307,14.305080126048127,0.939951738740976,0.3490658503988659,21.21824,32.324751969799884,-74.22015253221346,34.59699604092624
11.75,1.3620369064956548,-0.32989570094851567,0.10853161586259025,16.531645340534386,3.4340287866083,0.8936749890560425,18.411301498221892,5.77216751834931,14.651989182846885,1.0958900548672899,0.3490658503988659,21.21824,-3.856240339488904,-16.63180994653743,-32.087373259926125
12.0,1.3546753031345427,-0.33151926121888753,0.10847816470062134,16.80927349940719,3.6477389676967165,0.9208097127145474,18.6248007475116,6.036014666060029,14.993746251302783,1.2594632693334038,0.3490658503988659,21.21824,-1.3263720700051769,-86.47881669623064,-47.43032219365234
12.25,1.3473132496366862,-0.3328902848520874,0.10838207339463057,17.08019645347401,3.8672028374770053,0.9479306537635778,18.830291696883847,6.303833018484015,15.330101210064171,1.4305726564699952,0.3490658503988659,21.21824,5.464595142218997,-3.2425569903165927,-51.19299474848361
12.5,1.3399649357972752,-0.33410082411431746,0.10825111821554709,17.344285091747615,4.092229348789059,0.9750283685298918,19.027718809661017,6.575382770829845,15.66085137383421,1.609075926748273,0.3490658503988659,21.21824,14.332854957930964,-34.86888984904967,30.945211274123306
12.75,1.3326330420162757,-0.33512210299369927,0.10809219530382352,17.601395995103076,4.322639241259524,1.0020950500647898,19.217010587783513,6.850442534223208,15.985781402422637,1.7948359482958414,0.3490658503988659,21.21824,2.9226690293874533,-51.4311419915306,8.199629375006728
13.0,1.3253295412238377,-0.335990729144248,0.10790157200996542,17.85141063691603,4.558238178867695,1.0291202440436915,19.398129215528364,7.128775406486749,16.304692058303694,1.987700951248641,0.3490658503988659,21.21824,26.59346256942794,-18.896486050422116,-79.54426724129753
13.25,1.3180729962297062,-0.3366783639948309,0.10767586072961308,18.094207088471734,4.7988383399362675,1.0560950642449312,19.571031602572017,7.410157806135773,16.61738257437145,2.1875188737367615,0.3490658503988659,21.21824,16.37822267792359,1.1767401979661225,-3.7363355713456223
13.5,1.3108550774853152,-0.33724251892162105,0.10743580065632063,18.329687717136313,5.044229740765662,1.0830176507486584,19.73568206184468,7.694358021179289,16.923693372427948,2.3941014603520343,0.3490658503988659,21.21824,1.9454415795226836,-1.3225308752756704,-117.4132686302349
13.75,1.303689601961736,-0.3376565754046974,0.107175531196446,18.5577517498064,5.294214880988002,1.109880096632172,19.89205848230844,7.981150969472383,17.223445017304357,2.607278792503623,0.3490658503988659,21.21824,0.4305363840760554,-88.20622852568746,44.87158248206667
