time,u,v,r,x,y,ψ,x1,y1,x2,y2,δ,n_p,X_F,Y_F,N_F
0.0,1.17,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-3.0,0.0,0.17453292519943295,18.95,14.54743589694724,0.14760391122657307,-0.2702769893648332
0.25,1.1769566280829928,-0.002282744757929893,0.00282271811050881,0.2925,0.0,0.0,3.2925,0.0,-2.7075,3.6739403974420594e-16,0.17453292519943295,18.95,14.917435575228097,0.45929250203596506,-0.6542701988339753
0.5,1.1838653546156692,-0.0047965795311884826,0.005415271069589676,0.5867397918946755,-0.0005691299190912156,0.0007046552003513834,3.5867390470862843,0.0015448355070185652,-2.4132594632969333,-0.0026830953452003834,0.17453292519943295,18.95,14.889576851258106,0.5814897129464894,-0.8744520897980734
0.75,1.1907275564275093,-0.007524035212785597,0.007812985824406845,0.8827085772438544,-0.001560465030514773,0.002059518491992696,3.8827022148214754,0.004618086077620516,-2.1172850603337663,-0.0077390161386500424,0.17453292519943295,18.95,14.701305885055294,0.8596973031537339,-1.1186511550818947
1.0,1.197504194824788,-0.010448389331519078,0.010037410830183861,1.1803886522872715,-0.0028318747933316975,0.004013946135213919,4.180364484674356,0.00920993127646054,-1.8195871800998125,-0.01487368086312353,0.17453292519943295,18.95,14.982270823628163,0.46746232324923576,-0.6197150494292271
1.25,1.2042234862357968,-0.013531038636230126,0.012107648450152646,1.4797725986098709,-0.004243232224529325,0.006523983205184304,4.47970875530107,0.015328578553268695,-1.5201635580813289,-0.02381504300232725,0.17453292519943295,18.95,15.029072815370915,0.9881391665057074,-0.2917286293645057
1.5,1.2108539160417366,-0.016765484543349283,0.014045469751173179,1.7808407259113888,-0.005664380545835349,0.009551938935201504,4.780703867646819,0.02299100050452152,-1.2190224158240421,-0.034319761596191795,0.17453292519943295,18.95,14.908660239689267,1.1026526408328547,-1.5991975818059876
1.75,1.217412173110558,-0.02012192618288592,0.015864076310785874,2.083580907470259,-0.006964070899522727,0.013063576492434793,5.083324925564557,0.03222554389170541,-0.9161631106240385,-0.04615368569075064,0.17453292519943295,18.95,14.570938650155721,1.0305774242125039,-0.12424783375691507
2.0,1.2238910162971512,-0.023611098669211027,0.017575510278027253,2.387974012340198,-0.008021904801583483,0.017028887016767018,5.387539048361819,0.04306228724070382,-0.6115910236814228,-0.05910609684386982,0.17453292519943295,18.95,14.944450863479988,1.4237082336143339,-1.710911494806861
2.25,1.2302422507347275,-0.027164251011603763,0.019204041547612835,2.6939953519999738,-0.008707330704915563,0.021424462736332247,5.69330686693026,0.05556114062127803,-0.30531616293031205,-0.07297580203110926,0.17453292519943295,18.95,14.999260563683126,1.5389984213178174,-1.8381896375770959
2.5,1.2365171065004519,-0.030818191270413065,0.020747717244303184,3.001631329419229,-0.008907931038077101,0.026224963355976683,6.000599765488125,0.0697579412476895,0.0026628933503332255,-0.08757380332384326,0.17453292519943295,18.95,14.668076015463406,1.204506212095,0.38649484048482247
2.75,1.2426778840681134,-0.034548626608540536,0.022223709074821265,3.3108540929293007,-0.008504432365610487,0.03141215640714308,6.309374129273037,0.08571654006283407,0.31233405658556457,-0.10272540479405431,0.17453292519943295,18.95,15.229969836432518,1.018316812319504,0.2579882901249301
3.0,1.248737255902094,-0.03834533443211363,0.02363996826453998,3.621641933018853,-0.007381013609572241,0.03696859768123557,6.6195921506623305,0.1034995190902836,0.6236917153753756,-0.11826154630942705,0.17453292519943295,18.95,15.24792614749005,0.9029243109124313,0.15312241250690894
3.25,1.2546799051937163,-0.04219705013981596,0.025000661989462932,3.9339663635463404,-0.005423010028971333,0.04287814714810054,6.931208982792767,0.1231720185406891,0.9367237442999137,-0.13401803859863123,0.17453292519943295,18.95,15.140393867126594,1.9076103223543606,-1.1009139522383056
3.5,1.260510549356815,-0.04609572753918281,0.02631442352248186,4.2478006001565385,-0.002517406589239529,0.04912795335061569,7.244180994554097,0.14480717408839325,1.2514202057589792,-0.14984198726687234,0.17453292519943295,18.95,15.16476622021817,1.9162256685248704,-1.2856867110518166
