time,u,v,r,x,y,ψ,x1,y1,x2,y2,δ,n_p,X_wind,Y_wind,N_wind,U_W,Ψ_W,X_F,Y_F,N_F
0.0,1.4,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-3.0,0.0,0.3490658503988659,21.21824,-0.2734378984095851,-3.5493929431563486e-19,3.7268625903141655e-18,0.0,3.141592653589793,0.0,0.0,0.0
0.25,1.4064334279803956,-0.005517059102846035,0.006822095458658925,0.35,0.0,0.0,3.35,0.0,-2.65,3.6739403974420594e-16,0.3490658503988659,21.21824,-0.276474757217207,0.0019280787632790033,0.0032089674675161027,0.0,3.141592653589793,0.0,0.0,0.0
0.5,1.412837202953751,-0.011752508058960626,0.013028403966674238,0.7016083569950988,-0.0013792647757115088,0.0017055238646647313,3.7016039937786767,0.0037373043377592003,-2.2983872797884795,-0.006495833889182135,0.3490658503988659,21.21824,-0.2795840046922136,0.0041661339625835,0.006907347004413547,0.0,3.141592653589793,0.0,0.0,0.0
0.75,1.4191653680596283,-0.01861351160791257,0.01871533661216796,1.0548221550673078,-0.003714980917640693,0.004962624856333291,4.054785213674926,0.01117283254255166,-1.9451409035403102,-0.018602794377832566,0.3490658503988659,21.21824,-0.28273930923667107,0.006697469403013275,0.011058381591569985,0.0,3.141592653589793,0.0,0.0,0.0
1.0,1.425373762513794,-0.026017856250112444,0.02396268961159636,1.4096322211275434,-0.006607612413129428,0.009641459009375282,4.409492785609938,0.022316316492998724,-1.5902283433548516,-0.035531541319256926,0.3490658503988659,21.21824,-0.2859154747423279,0.00950701242788923,0.01562857523560184,0.0,3.141592653589793,0.0,0.0,0.0
1.25,1.4314203787938893,-0.03389226779495834,0.028836595268233105,1.7660218109973345,-0.009676156710252324,0.01563213141227437,4.7656552731627295,0.037218327588480773,-1.2336116511680606,-0.05657064100898539,0.3490658503988659,21.21824,-0.289088464952247,0.012580590098457113,0.020586619427623347,0.0,3.141592653589793,0.0,0.0,0.0
1.5,1.4372655236966572,-0.042170977324092945,0.03339183410419203,2.123965629920299,-0.012554378385934907,0.02284128022933265,5.123183077820437,0.05596350403450819,-0.875251817979839,-0.08107226080637792,0.3490658503988659,21.21824,-0.29223538241398106,0.01590438242005219,0.02590256946052553,0.0,3.141592653589793,0.0,0.0,0.0
1.75,1.4428718741133946,-0.050794489352958654,0.03767367441049971,2.483429071753815,-0.014887840121419617,0.031189238755380655,5.481970037113617,0.07866470692626804,-0.5151118936059866,-0.10844038716910709,0.3490658503988659,21.21824,-0.2953344301757978,0.019464503571611814,0.031547205868124255,0.0,3.141592653589793,0.0,0.0,0.0
2.0,1.4482044844142334,-0.05970852219625902,0.041719357516990886,2.8443676030996015,-0.016331591642469633,0.04060765735800558,5.8418944702193984,0.1054579025471924,-0.15315926402019553,-0.13812108583213084,0.3490658503988659,21.21824,-0.2983648737748114,0.023246678012048685,0.03749153738103792,0.0,3.141592653589793,0.0,0.0,0.0
2.25,1.4532307805496998,-0.06886310021280573,0.045559314328474675,3.2067262465856126,-0.016548408962410915,0.0510374967372533,6.202819855542025,0.13649761800509297,0.21063263762920004,-0.16959443592991386,0.3490658503988659,21.21824,-0.30130701422679435,0.027235989682243285,0.043706416648136646,0.0,3.141592653589793,0.0,0.0,0.0
2.5,1.457920561623696,-0.0782117834858921,0.04921817599359193,3.570439136405273,-0.015207500396618931,0.06242732531937197,6.564595278231543,0.17195285428360946,0.5762829945790036,-0.20236785507684674,0.3490658503988659,21.21824,-0.30414217813735106,0.031416690657053055,0.05016225043329126,0.0,3.141592653589793,0.0,0.0,0.0
2.75,1.4622460199970613,-0.08771102409421717,0.05271562558996201,3.9354291321567554,-0.011983613936484054,0.07473186931776996,6.927055751815314,0.212003369056515,0.9438025124981966,-0.23597059692948316,0.3490658503988659,21.21824,-0.3068527278385338,0.03577206138367331,0.056828793244659406,0.0,3.141592653589793,0.0,0.0,0.0
