time,u,v,r,x,y,ψ,x1,y1,x2,y2,δ,n_p,X_wind,Y_wind,N_wind,U_W,Ψ_W,X_F,Y_F,N_F
0.0,1.4,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-3.0,0.0,0.0008683230109424525,15.0,-0.2734378984095851,-3.5493929431563486e-19,3.7268625903141655e-18,0.0,1.5707963267948966,0.0,0.0,0.0
0.1,1.4001288296225214,-3.5309961657025394e-6,4.366237964381222e-6,0.13999999999999999,0.0,0.0,3.14,0.0,-2.86,3.6739403974420594e-16,0.0008683230109424525,15.0,-0.27348855490863655,1.2177599981189348e-6,2.033753014825821e-6,0.0,1.5707963267948966,0.0,0.0,0.0
0.2,1.4002571614570507,-1.0775598568921932e-5,1.2940525667926276e-5,0.28001288296225213,-3.5309961657025396e-7,4.3662379643812224e-7,3.280012882961966,9.56771772744071e-7,-2.719987117037462,-1.66297100489114e-6,0.001736646021884905,15.0,-0.27353936875387774,3.7166418365516178e-6,6.207049865099047e-6,0.0,1.5707963267948966,0.0,0.0,0.0
0.3,1.4003849927632193,-2.1905700259207467e-5,2.5574011528091798e-5,0.42003859910841435,-1.369520913679842e-6,1.73067636323075e-6,3.4200385991039215,3.822508176009816e-6,-2.579961400887093,-6.561550002639109e-6,0.0026049690328273575,15.0,-0.27359035498558787,7.556380927531017e-6,1.261959219098282e-5,0.0,1.5707963267948966,0.0,0.0,0.0
0.4,1.4005123208555081,-3.708310756714749e-5,4.21266312487358e-5,0.5600770983883178,-3.3177296189575924e-6,4.28807751603993e-6,3.560077098360736,9.546502929122774e-6,-2.439922901584101,-1.618196216708808e-5,0.00347329204376981,15.0,-0.27364152772743355,1.2793308568038135e-5,2.1365359263547913e-5,0.0,1.5707963267948966,0.0,0.0,0.0
0.5,1.4006391430813818,-5.646013345060781e-5,6.24665908015326e-5,0.7001283304884826,-6.425489836240348e-6,8.500740640913511e-6,3.7001283303800885,1.9076732086193043e-5,-2.299871669403123,-3.192771175777922e-5,0.0043416150547122626,15.0,-0.2736929002329371,1.9480561335157894e-5,3.253295341828969e-5,0.0,1.5707963267948966,0.0,0.0,0.0
0.6,1.4007654567996863,-8.01801560480545e-5,8.646987984098371e-5,0.8401922448395553,-1.0880856172426854e-5,1.4747399721066772e-5,3.8401922445133265,3.336134298916979e-5,-2.159807754834216,-5.512305533333631e-5,0.005209938065654715,15.0,-0.27374448492882103,2.7668278288840912e-5,4.620592533076829e-5,0.0,1.5707963267948966,0.0,0.0,0.0
0.7,1.4008912593593614,-0.00010837814447634938,0.00011401981376131989,0.9802687906225366,-1.6833106965746515e-5,2.3394387705165146e-5,3.9802687898015905,5.3350056143347074e-5,-2.0197312085565176,-8.701627007477737e-5,0.006078261076597168,15.0,-0.2737962934554426,3.7403786670697375e-5,6.246308028740818e-5,0.0,1.5707963267948966,0.0,0.0,0.0
0.8,1.4010165480785033,-0.00014118115379105613,0.00014500660270926833,1.1203579167736815,-2.4393622085291647e-5,3.479636908129714e-5,4.1203579149575,7.999548513753425e-5,-1.8796420814101376,-0.00012878272930749967,0.00694658408753962,15.0,-0.27384833670450315,4.873177675095989e-5,8.137876654085047e-5,0.0,1.5707963267948966,0.0,0.0,0.0
0.9,1.401141320223804,-0.00017870879091492077,0.00017932694596604334,1.2604595719879743,-3.3636708567239565e-5,4.929702935222397e-5,4.260459568342679,0.00011425437942953158,-1.73954042436673,-0.0001815277965642107,0.007814907098482073,15.0,-0.2739006248542141,6.169446644087884e-5,0.0001030231467788133,0.0,1.5707963267948966,0.0,0.0,0.0
1.0,1.4012655729903882,-0.00022107365323438278,0.00021688365020539264,1.4005737047210836,-4.460037716084574e-5,6.722972394882831e-5,4.40057369794133,0.00015708879453370554,-1.5994262884991628,-0.00024628954885492,0.008683230109424525,15.0,-0.2739531674020823,7.633175625452759e-5,0.0001274624536780545,0.0,1.5707963267948966,0.0,0.0,0.0
1.1,1.4013893034820546,-0.0002683817414643472,0.0002575852702224522,1.54070026318972,-5.728707267630578e-5,8.891808896936758e-5,4.54070025133008,0.00020946719388028478,-1.45929972495064,-0.0003240413392319025,0.009551553120366978,15.0,-0.274005973195467,9.268137517225618e-5,0.00015475923046062102,0.0,1.5707963267948966,0.0,0.0,0.0
1.2,1.4015125086919311,-0.00032073284828764093,0.0003013457708108692,1.6808391953703254,-7.166436085628991e-5,0.0001146766159916128,4.680839175644236,0.0002723654863645081,-1.3191607849035853,-0.0004156942080767626,0.01041987613130943,15.0,-0.27405905046004814,0.00011077901792780183,0.00018497255731799044,0.0,1.5707963267948966,0.0,0.0,0.0
1.3,1.401635185483541,-0.00037822092418724927,0.00034808420854345873,1.820990448996029,-8.766557433271643e-5,0.00014481119307269973,4.820990417540607,0.000346768003367017,-1.1790095195485488,-0.0005220991520325572,0.011288199142251883,15.0,-0.2741124068263411,0.00013065847421229708,0.00021815826451983627,0.0,1.5707963267948966,0.0,0.0,0.0
1.4,1.4017573305722792,-0.00044093442180625976,0.00039772443228486135,1.9611539715518111,-0.00010519042007955659,0.0001796196139270456,4.961153923157003,0.000433668418804028,-1.0388459800533802,-0.0006440492589625905,0.012156522153194335,15.0,-0.27416604935437505,0.0001523517502610636,0.00025436913297786115,0.0,1.5707963267948966,0.0,0.0,0.0
