time,u,v,r
0.0,1.298404278893188,-0.006865548598851237,0.0033776212212805823
1.0,1.3996794400963146,-0.0053143401153382015,0.02829711674339631
2.0,1.3838793825312101,-0.06700487310584993,0.03272836727158254
3.0,1.4427458424287471,-0.1477076029870329,0.05419479468246127
4.0,1.4735897725894869,-0.11154385643487794,0.06870997115198026
5.0,1.476454055862891,-0.18088992179530533,0.09699262714845333
6.0,1.5317463781125438,-0.26065507312429637,0.08827901735251299
7.0,1.437433594342591,-0.23318816411937177,0.09731926469885213
8.0,1.4786604360206859,-0.23047809628931196,0.10304298757509778
9.0,1.4085839047946471,-0.2628800938057238,0.10032554995444407
10.0,1.2883676837564668,-0.2590654628895647,0.09309363079801362
11.0,1.474537242915304,-0.3088650260092364,0.11147047741207572
12.0,1.2341953619031838,-0.26034168540899494,0.10226661207958729
13.0,1.3498826426868866,-0.2821144066310257,0.10688988319252987
14.0,1.26213101687358,-0.2586313970059149,0.1027199567539035
15.0,1.3175261044035667,-0.3712494928214349,0.09828747288579118
16.0,1.1174957332264153,-0.28673988660826105,0.11293852147470637
17.0,1.3982496656699552,-0.24335856085818908,0.1053624465571203
18.0,1.3216191258435999,-0.327463135439001,0.0961734687062065
19.0,1.1108338913979918,-0.3479862468640511,0.09721878893730548
20.0,1.160695480164577,-0.3431898438486114,0.1048600596878813
21.0,1.3028756212973231,-0.2992987097060743,0.09772305302235493
22.0,1.181427388033613,-0.27578821890708605,0.1031990925406567
23.0,1.119814873403603,-0.2942865018465107,0.09779746372591835
24.0,1.2082026224760327,-0.3220879744134836,0.09744678107240502
25.0,1.2292746626321585,-0.2616413754936339,0.09885845006398211
26.0,0.8961162503189575,-0.3210128517401377,0.09564899131235047
27.0,1.0572519892893513,-0.2360250125872918,0.09043399446435613
28.0,0.9879089064119818,-0.3083431088164684,0.1090965701848931
29.0,1.074085083676701,-0.28184039488621776,0.1005522357898189
30.0,0.9984930343780681,-0.21027488045719672,0.10220347268052687
31.0,1.057419704136769,-0.2835063573951496,0.07295484998513453
32.0,1.2407071811628507,-0.24077070646288118,0.08920680038146238
33.0,1.1163922411590292,-0.22794694494141188,0.09803112823029131
34.0,0.9020953161624238,-0.23020246697368635,0.09124146016747019
35.0,1.156545857754444,-0.27907506694092943,0.08217190916828838
36.0,0.9767467459201096,-0.2704298294430629,0.08781360617488637
37.0,1.009515558424652,-0.3066382679045607,0.09344629268430142
38.0,1.049045099273327,-0.1992490081666592,0.07440106350054462
39.0,1.072832245154231,-0.25294407115404305,0.10560883919739633
40.0,0.8726724899544525,-0.2568268782445579,0.0963230311023268
41.0,1.020366216635983,-0.2637290355089487,0.07266361395874868
42.0,0.9547944968013146,-0.28822920441729416,0.09749333773888108
43.0,0.9200458452819551,-0.26677118815482015,0.0945524822867972
44.0,0.9837190210847954,-0.2700610561412529,0.08556590043528772
45.0,0.94624589634131,-0.29070665122644745,0.10370811912909056
46.0,0.9540995292648476,-0.2761996167228021,0.09077569625172714
47.0,1.0203490323323243,-0.26208402954342114,0.08859694588105968
48.0,0.9703532404253368,-0.2440462607566816,0.08832772074932972
49.0,1.149770689202774,-0.29058546588453393,0.10169668247905822
50.0,0.9761202511599131,-0.20212588885229954,0.08637054874660965
51.0,1.0401592311132,-0.2833315558210707,0.10378237374382379
52.0,1.0606338645564282,-0.24240766693952145,0.08145862020059201
53.0,1.0040422451035418,-0.2579302939599114,0.08000560577318937
54.0,1.102833988547471,-0.19715621564221206,0.09135694780035189
55.0,1.0223902569856895,-0.2555997641204106,0.09238740815853644
56.0,1.077765839959766,-0.19731818380127097,0.10276387001487905
57.0,1.156983515542524,-0.2506564605908021,0.09854333229206685
58.0,0.981250804194425,-0.254786264683,0.0845541570363618
59.0,0.9564114406776065,-0.2186795057596247,0.09720517706222648
60.0,0.9389042259323492,-0.18989385051590763,0.08539385219524026
61.0,1.0217714710183488,-0.22965080932323012,0.09298994240408502
62.0,1.0419442115745012,-0.31584834688801056,0.09688764876363522
63.0,1.1821431142826975,-0.2154781068255139,0.09451921077600242
64.0,0.9431119000698936,-0.34789354528002636,0.0938703530219298
65.0,1.0747944410160035,-0.2726019627654624,0.07560421686268862
66.0,0.9960576586101327,-0.24223028171198602,0.08973059362240077
67.0,0.9649286933274683,-0.29685443529822714,0.08597483158278983
68.0,0.9175875420418891,-0.23154424143937177,0.09434828889681555
69.0,0.967385585130804,-0.21340722256333045,0.09665106586543361
70.0,0.9057517996687392,-0.1907861227829271,0.09457003429399415
71.0,1.0152842296322646,-0.3418040916283308,0.09974438106735883
72.0,1.0130575828745256,-0.3001013292024996,0.08640722812743662
73.0,0.9712946518463054,-0.24526034779227773,0.10064857531167137
