time,x_F_body_mode,x_F_body_median,y_F_body_mode,y_F_body_median,n_F_body_mode,n_F_body_median,x_F_earth_mode,x_F_earth_median,y_F_earth_mode,y_F_earth_median
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,6.616822828190637,7.223836774144322,-0.04116859485104669,-0.044796052325840774,-0.08400147220789282,0.18154495642781227,6.616822828190637,7.223836774144322,-0.04116859485104669,-0.044796052325840774
0.5,6.424871828453044,7.350852077092026,0.007527668237559877,0.0004838251527320078,1.1909444178180073,0.24961405938059422,6.424093555143129,7.350702881849821,0.013340714382778118,0.011380212913545108
0.75,6.548858222266192,7.1335866148318505,-0.28140627908520965,-0.30678856181044845,1.7580167568507978,0.5529163559002801,6.558259301601908,7.139705759963098,-0.2399577221590143,-0.27361414672538165
1.0,8.000703620839909,7.680961974524422,-0.6646015683176759,-0.5603019997673262,1.1305389140572106,0.665381859367205,8.00449969059924,7.678115249299781,-0.6144588511445105,-0.49710950241006424
1.25,9.287203110005475,8.27952424786491,-0.9669767176956919,-0.8308968662241834,0.8107511614074402,1.1172264843454096,9.30596951613385,8.287714497794813,-0.8871251686812737,-0.7121201822767262
1.5,7.125342023919972,7.422557478197067,-1.6906961407816412,-1.154951275849306,3.514723680643888,2.2418898571095696,7.239992432370666,7.439206686748019,-1.5469911188878898,-0.9744515185192026
1.75,6.18206058336096,6.811548145280532,-1.1482340317349928,-1.7983781301922268,3.954201622378972,2.9671156595846195,6.252134163681213,6.800570147781714,-0.9391297180579624,-1.557116073178064
2.0,7.536484173599239,7.5031766133651745,-0.918111239155786,-1.5333338754383075,0.3981319992684434,0.7319478641857503,7.63020593399959,7.5989814009404455,-0.5776496272224303,-1.4098463661477931
2.25,6.087507257095361,7.202131220956945,-2.7863639283542705,-2.5364903209884364,4.654494961563704,3.9327441132657044,6.132084739566406,7.330007499470915,-2.4507723005952737,-2.14716570263331
2.5,6.966412826874627,7.186305783653487,-3.5721148989033997,-3.323010212113065,2.602913414053747,3.7713773606946193,7.232438544563173,7.503859231376268,-3.1413441555113337,-2.77621805357464
2.75,6.531040477498636,7.90988056915123,-2.8376177473698516,-3.857605329841829,7.439243626094692,4.672116197331107,6.750834228051046,8.23934322727223,-2.3196082722660103,-3.1386639393467295
3.0,7.951264335074024,7.723997228760513,-3.472542206234705,-3.7566025745969718,10.738717858141754,8.890862233703515,9.09900183676403,8.09832594656654,-2.4171657259416732,-2.912963539892786
3.25,6.598181691464447,7.293333727154552,-4.914557060201293,-4.453102857973647,5.1207901283812465,6.169480385394192,6.800597432187747,7.716412567820152,-3.532569476568491,-3.6427322764720724
3.5,7.0934757358561145,8.013565069931037,-5.093117215072107,-5.644253786554494,5.915858649365257,6.668166175058332,7.836825670206138,8.572041874842977,-3.9288221515402766,-4.711399737667666
3.75,9.068496991778266,8.587331889968258,-6.699660063236188,-5.938540205919002,10.20094334805122,9.10235536538116,8.994538512866416,9.356856970887673,-5.9530390171026,-4.971782037076445
4.0,7.233501085577985,7.9802858490482755,-7.428964934198314,-7.249699212009869,5.894316607550575,8.504018194229197,8.230442912012968,8.928250543532707,-6.029205185144722,-5.682175806488447
4.25,8.119753699242041,8.670430921953471,-8.450407285218741,-7.699070504967919,13.455610734983331,10.466755187268177,9.14790935357271,9.709348717787197,-6.728306218468686,-6.042554303729153
4.5,8.008012147727689,8.673787605729085,-9.894782405984122,-8.420705028608598,8.721618606548809,11.262561890233847,9.40120754710082,9.838263725285657,-8.290380398469162,-6.700439690540076
4.75,10.831361105691178,9.398960420268754,-7.149496363006656,-8.363772322597285,13.902111455907024,12.961251698486333,12.38851789453287,10.996403467135899,-6.95285274883565,-6.616189109864521
5.0,9.084955159806457,9.488814469708231,-9.433649007710045,-9.639812917122097,16.400012296618055,15.337750006698231,11.375056858853299,11.378538025087046,-7.3339679204699015,-7.332200082628379
5.25,8.754344145280177,9.484868193357162,-12.00052018782636,-11.216527420370962,19.301254763826044,17.93789744862145,9.692966247463328,11.565325787211412,-6.382545629322203,-7.8173345497996
5.5,8.927204621550665,9.945653714640699,-12.080949602033593,-12.319433900060563,16.259494806378022,16.68915911786661,11.951241516865576,13.428627720030875,-8.633665749125393,-9.284766742106003
5.75,8.384558746483668,10.145647367057933,-15.694873346951434,-13.946475889107434,17.601007948390386,17.996505275963045,12.635458196274056,13.878513932541505,-11.339947061837798,-10.520350948656988
6.0,12.433258808471647,10.713618104381716,-14.534618166893338,-13.97372729101626,20.039440877146482,19.512967278035585,12.932966526091478,14.537911966677086,-10.968228570704346,-10.05038317253909
6.25,10.215652282547778,10.87221464906549,-16.521411635322213,-16.446163558542587,20.878407581386067,20.30786865951113,14.592755225894269,15.57321977535962,-11.569511353487721,-11.78179048830274
6.5,9.316250144332026,10.65872303483971,-19.096788709959835,-18.620505753277175,21.345666447145188,20.12358140531832,14.663798681677148,16.682993010967763,-14.230771785770518,-13.686698168860119
6.75,9.042608363509817,11.512252800666843,-20.348478678580456,-19.90420532774739,17.65576077033592,21.682140171245635,18.087588424113875,17.787400393155853,-14.25774667265066,-14.147455417937156
7.0,13.4922612484014,11.771286791211688,-20.837378136506526,-20.473382105003704,15.015073834321187,20.958563517297925,17.45030112732808,18.525431028200526,-14.546022329177195,-14.31744488678675
7.25,10.26702253370728,11.01966313787679,-22.998503352209255,-21.991142140959862,25.495312444716845,25.709002490541085,18.636573311254807,19.010026576682797,-15.95070310257693,-15.376604461318333
7.5,12.297250416125975,12.082746073441996,-25.387738496811526,-24.21024308123471,25.23128638274159,24.96870490912055,18.541067494215994,20.603800718028843,-17.843329357944153,-15.624632575203863
7.75,12.117850075447363,12.059569316931988,-26.396175526625946,-24.796988344528867,24.146626465045305,25.349119412951016,21.177315703786515,21.73946872985855,-17.31989477003345,-15.892366738086618
8.0,11.404506365422572,12.590679223662267,-26.46599942857247,-26.18485005110155,26.68856258520311,28.779455872147466,22.75921996920238,22.99517044384155,-20.404316622984364,-17.43251692479733
8.25,12.788465483962021,12.557907330877242,-29.727212342961817,-29.481752958856745,27.446602993197395,28.195939458370386,24.2187955773145,24.797695701796272,-20.165840156851274,-18.786008953000728
8.5,11.921781838520467,12.5158886372961,-26.88752753764542,-27.95667409111539,28.748542443863997,26.591551452582237,26.849511312103328,25.97284317526111,-20.198070955631632,-17.6907754018493
8.75,15.723485368690838,14.489183520484339,-30.008095833457187,-30.131735905740143,22.452060109255996,27.8746832205159,26.05452113740184,27.172577818856862,-20.620968088113987,-17.792888042115408
9.0,14.74255831491791,13.60265551463956,-30.838104798314717,-31.766544701816827,31.29990682821884,29.405019554437686,29.778957564327136,29.097127277733186,-21.762073400242688,-18.97885408411404
9.25,11.535172497188059,13.183344214484542,-29.67681459260538,-31.406577504590132,27.099592333633904,28.60104551139255,31.956815949752993,30.725897970597526,-13.324849485891024,-18.23712134975475
9.5,10.79199997791754,13.117381020105295,-33.592978526895784,-34.03767565331739,30.918786459928636,30.73326351276463,33.71056982005411,31.273193442866216,-20.378298295513076,-19.226594207093623
9.75,12.371818591683256,12.726002605164926,-36.38149546908399,-34.832075945250125,31.411880638897873,26.345027064410925,33.87742483333902,31.589741371311035,-19.3065818670118,-18.281713532693253
10.0,13.516057607751852,12.763443950755537,-37.88373497747179,-36.50546269351915,32.44831346604387,31.382281133167503,32.49703607423377,32.60029811848521,-19.44291211191506,-19.22970488932032
10.25,12.486778767590256,13.282206058318778,-34.79721395341661,-36.377464733279155,29.247645589808847,29.957969367283283,33.55130320540506,35.040537946267314,-16.69338784603714,-18.708895672766495
