time,x_F_body_mean,x_F_body_median,y_F_body_mean,y_F_body_median,n_F_body_mean,n_F_body_median,x_F_earth_mean,x_F_earth_median,y_F_earth_mean,y_F_earth_median,n_F_earth_mean,n_F_earth_median
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,26.21777915682746,26.447793629152752,8.726211647341131,8.91169397192709,-8.538287497844138,-8.502896098269174,26.21777915682746,26.447793629152752,8.726211647341131,8.91169397192709,-8.538287497844134,-8.502896098269174
0.5,25.282847223763874,25.931706051172632,12.199904676856255,12.065076627776484,-11.701978023325418,-11.75387489948544,25.252535435726703,25.915073700620816,12.262533838197871,12.111484110057438,-11.701978023325418,-11.75387489948544
0.75,23.870304600724417,23.879551738340815,16.229117507847583,16.7523404421637,-14.308965346356114,-14.961238457936961,23.751753802645286,23.797139751543646,16.402127672250572,16.994643460668925,-14.308965346356121,-14.961238457936961
1.0,25.860163170535884,26.09254769038788,18.23394846019687,18.471702331885226,-15.565342004211686,-15.008077671462367,25.599048860087613,25.913485655473355,18.598749042711308,18.91719412651979,-15.565342004211686,-15.008077671462367
1.25,26.101719671520797,26.23696226825176,20.4897470027124,20.594700933257876,-13.4942690829671,-13.156737752043217,25.621941184066156,25.786721452202507,21.086618062059234,21.348147532780963,-13.494269082967099,-13.156737752043217
1.5,25.228866846580488,25.561476772571396,21.40080637035529,22.120806358916376,-14.597333462002132,-15.457706004870023,24.49003958366865,24.907684251123364,22.24248405337552,23.0785801654708,-14.59733346200213,-15.457706004870023
1.75,25.092057850020975,25.469900397837485,22.788470739602086,23.279876753465757,-12.637485979447877,-13.56116482413298,24.007781577894562,24.16370481763429,23.928063769161472,24.34081243607016,-12.637485979447879,-13.56116482413298
2.0,23.89334271916214,24.297301620362354,23.088826123441986,23.657996703937428,-11.454766678210216,-11.217682560233932,22.449544766497674,23.126937766105513,24.494973722555187,25.07723443936529,-11.454766678210214,-11.217682560233932
2.25,24.73763428173097,24.48225843280467,23.247464518692876,22.505537686589935,-8.262701981380774,-8.005187928992752,22.887397799657577,22.92857088318734,25.071143521593903,24.408434440006808,-8.262701981380776,-8.005187928992752
2.5,22.69928877551016,23.053140420237064,21.071879890995124,20.313489058409576,-7.212431923372986,-7.920443912871518,20.62143463003544,20.829642882212593,23.109270269015965,22.75287502946084,-7.2124319233729866,-7.920443912871518
2.75,23.088001871030666,23.100731436735927,19.916026751756657,18.681769599758496,-3.870824702204063,-3.6565459602561634,20.696509577257924,20.718703452327674,22.391035737654214,21.622809379228457,-3.870824702204063,-3.6565459602561634
3.0,22.72913659683263,23.018100759133333,20.000119025077666,19.432778392773415,1.7564326205890362,1.7496190352031475,19.86898079827716,20.07138119080826,22.843866062141174,21.999096587154433,1.7564326205890364,1.7496190352031475
3.25,21.90409533914413,21.703570178024464,16.045753506907857,16.423441460448142,3.404908382409969,2.9173584576054243,19.16285966577825,19.115140543788804,19.23643564312805,19.275562597600654,3.4049083824099684,2.9173584576054243
